Xã/Phường,Quận/Huyện,Tỉnh/Thành phố,Chủ đầu tư,Tên dự án,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Hướng nhà,Hướng ban công,Thông tin khác,Lịch sử giá,Khoảng giá
Thường Tín,Thường Tín,Hà Nội,Đang cập nhật,Him Lam Thường Tín,90 m²,Thỏa thuận,Không có thông tin,Không có thông tin,Đang chờ sổ,Không có thông tin,18 m,Không có thông tin,Nam,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Dương Xá,Gia Lâm,Hà Nội,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,55 m²,"3,53 tỷ",2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Không có thông tin,Tây - Bắc,Đông - Nam,Không có thông tin,"Giá T10/22: 31,6 tr/m²; Giá T11/22: 30,6 tr/m²; Giá T12/22: 29,8 tr/m²; Giá T1/23: 29,8 tr/m²; Giá T2/23: 29,7 tr/m²; Giá T3/23: 30,2 tr/m²; Giá T4/23: 30,7 tr/m²; Giá T5/23: 30,7 tr/m²; Giá T6/23: 30,7 tr/m²; Giá T7/23: 30,2 tr/m²; Giá T8/23: 30,6 tr/m²; Giá T9/23: 31,3 tr/m²; Giá T10/23: 31,9 tr/m²; Giá T11/23: 32,4 tr/m²; Giá T12/23: 32,4 tr/m²; Giá T1/24: 33,4 tr/m²; Giá T2/24: 33,8 tr/m²; Giá T3/24: 36,4 tr/m²; Giá T4/24: 39,4 tr/m²; Giá T5/24: 39,1 tr/m²; Giá T6/24: 40,3 tr/m²; Giá T7/24: 41,7 tr/m²; Giá T8/24: 45,4 tr/m²; Giá T9/24: 48 tr/m²; Giá T10/24: 50,7 tr/m²;  ","27,4 45; 27,2 41,4; 26,5 38,3; 25,4 42,5; 25,7 41,5; 26,1 40,4; 26 40,2; 25,8 39,3; 26,4 37,8; 26,1 37,6; 27 40; 26,7 42; 27,4 39; 28,1 40; 28,7 41,1; 29,3 42,5; 30 41,9; 31,7 46,6; 34,3 48,3; 35 46,3; 35,6 47,4; 37,5 50,5; 40,2 55,2; 41,9 59,7; 43,3 62,7"
Xã Đông Hội,Đông Anh,Hà Nội,Tập đoàn Vingroup,Vinhomes Cổ Loa,64 m²,"14,2 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Phường Vĩnh Phúc,Ba Đình,Hà Nội,Công ty CP đầu tư & xây dựng Ba Đình số 1,Khu nhà ở số 6 Đội Nhân,94 m²,"5,99 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,"Mới sắm toàn bộ, sẵn cho hộ gia đình ở lâu dài",Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Phường Hoàng Văn Thụ,Hoàng Mai,Hà Nội,Tập đoàn Lã Vọng,Louis City Hoàng Mai,95 m²,"27,5 tỷ",6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,5 m,Đông,Đông,"Đường vào: 17,5 m; Số tầng: 5 tầng","Giá T10/22: 150 tr/m²; Giá T11/22: 150 tr/m²; Giá T12/22: 145 tr/m²; Giá T1/23: 145 tr/m²; Giá T2/23: 152,9 tr/m²; Giá T3/23: 135 tr/m²; Giá T4/23: 164,5 tr/m²; Giá T5/23: 153,1 tr/m²; Giá T6/23: 140,6 tr/m²; Giá T7/23: 149,6 tr/m²; Giá T8/23: 160 tr/m²; Giá T9/23: 162,9 tr/m²; Giá T10/23: 150 tr/m²; Giá T11/23: 160 tr/m²; Giá T12/23: 158,6 tr/m²; Giá T1/24: 167,5 tr/m²; Giá T2/24: 150 tr/m²; Giá T3/24: 167,9 tr/m²; Giá T4/24: 209 tr/m²; Giá T5/24: 218,8 tr/m²; Giá T6/24: 230,7 tr/m²; Giá T7/24: 232,6 tr/m²; Giá T8/24: 243,8 tr/m²; Giá T9/24: 232,4 tr/m²; Giá T10/24: 260 tr/m²;  ","131,6 182,7; 130 197; 128,5 198; 133 256,6; 130 252; 125 150,5; 136 261,4; 125 250; 120,8 268,5; 130 224,7; 136 240; 137,2 229,6; 135 187; 145 185,8; 140,9 195,5; 142,8 251; 135 218,8; 144,3 250; 165 255,7; 160 279,9; 179,8 262,9; 177 282,8; 175 348,2; 176,1 270,5; 180 348,2"
Xã Đông Hội,Đông Anh,Hà Nội,Tập đoàn Vingroup,Vinhomes Cổ Loa,65 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Đông - Nam,Tây - Bắc,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Phường An Phú,Quận 2,Hồ Chí Minh,Masterise Homes,The Global City,76 m²,Thỏa thuận,2 phòng,2 phòng,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Xã Đông Hội,Đông Anh,Hà Nội,Tập đoàn Vingroup,Vinhomes Cổ Loa,62 m²,"5,3 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Đông - Bắc,Tây - Nam,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Phường Phúc Đồng,Long Biên,Hà Nội.,Công ty CP Tập đoàn Sunshine,Sunshine Green Iconic,80 m²,"5,5 tỷ",3 phòng,Không có thông tin,Hợp đồng mua bán,Không có thông tin,Không có thông tin,Đông - Nam,Không có thông tin,Không có thông tin,"Giá Q3/22: 55 tr/m²; Giá Q3/22: 55 tr/m²; Giá Q4/22: 52,5 tr/m²; Giá Q4/22: 52,5 tr/m²; Giá Q4/22: 52,5 tr/m²; Giá Q1/23: 48,6 tr/m²; Giá Q1/23: 48,6 tr/m²; Giá Q1/23: 48,6 tr/m²; Giá Q2/23: 60,5 tr/m²; Giá Q2/23: 60,5 tr/m²; Giá Q2/23: 60,5 tr/m²; Giá Q3/23: 50,3 tr/m²; Giá Q3/23: 50,3 tr/m²; Giá Q3/23: 50,3 tr/m²; Giá Q4/23: 52,7 tr/m²; Giá Q4/23: 52,7 tr/m²; Giá Q4/23: 52,7 tr/m²; Giá Q1/24: 56,2 tr/m²; Giá Q1/24: 56,2 tr/m²; Giá Q1/24: 56,2 tr/m²; Giá Q2/24: 61,9 tr/m²; Giá Q2/24: 61,9 tr/m²; Giá Q2/24: 61,9 tr/m²; Giá Q3/24: 68,7 tr/m²; Giá Q3/24: 68,7 tr/m²;  ","44,1 65,5; 44,1 65,5; 42,3 59,9; 42,3 59,9; 42,3 59,9; 39,5 58,1; 39,5 58,1; 39,5 58,1; 44,2 68,7; 44,2 68,7; 44,2 68,7; 40,7 63,4; 40,7 63,4; 40,7 63,4; 45,8 62; 45,8 62; 45,8 62; 48,4 68,4; 48,4 68,4; 48,4 68,4; 55,4 73,4; 55,4 73,4; 55,4 73,4; 60,2 78,5; 60,2 78,5"
Xã Dương Xá,Gia Lâm,Hà Nội,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,59 m²,"2,6 tỷ",2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 31,6 tr/m²; Giá T11/22: 30,6 tr/m²; Giá T12/22: 29,8 tr/m²; Giá T1/23: 29,8 tr/m²; Giá T2/23: 29,7 tr/m²; Giá T3/23: 30,2 tr/m²; Giá T4/23: 30,7 tr/m²; Giá T5/23: 30,7 tr/m²; Giá T6/23: 30,7 tr/m²; Giá T7/23: 30,2 tr/m²; Giá T8/23: 30,6 tr/m²; Giá T9/23: 31,3 tr/m²; Giá T10/23: 31,9 tr/m²; Giá T11/23: 32,4 tr/m²; Giá T12/23: 32,4 tr/m²; Giá T1/24: 33,4 tr/m²; Giá T2/24: 33,8 tr/m²; Giá T3/24: 36,4 tr/m²; Giá T4/24: 39,4 tr/m²; Giá T5/24: 39,1 tr/m²; Giá T6/24: 40,3 tr/m²; Giá T7/24: 41,7 tr/m²; Giá T8/24: 45,4 tr/m²; Giá T9/24: 48 tr/m²; Giá T10/24: 50,7 tr/m²;  ","27,4 45; 27,2 41,4; 26,5 38,3; 25,4 42,5; 25,7 41,5; 26,1 40,4; 26 40,2; 25,8 39,3; 26,4 37,8; 26,1 37,6; 27 40; 26,7 42; 27,4 39; 28,1 40; 28,7 41,1; 29,3 42,5; 30 41,9; 31,7 46,6; 34,3 48,3; 35 46,3; 35,6 47,4; 37,5 50,5; 40,2 55,2; 41,9 59,7; 43,3 62,7"
