Xã/Phường,Quận/Huyện,Tỉnh/Thành phố,Chủ đầu tư,Tên dự án,Diện tích (m²),Mức giá (triệu/m²),Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền (m),Hướng nhà,Thông tin khác,Lịch sử giá,Khoảng giá
Phường Cầu Diễn,Nam Từ Liêm,Hà Nội.,Tập đoàn Vingroup,Vinhomes Gardenia,80.0,76.25,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Đông - Nam,Không có thông tin,"Giá T10/22: 47,8 tr/m²; Giá T11/22: 48,1 tr/m²; Giá T12/22: 46,6 tr/m²; Giá T1/23: 48,8 tr/m²; Giá T2/23: 48,2 tr/m²; Giá T3/23: 49 tr/m²; Giá T4/23: 45,9 tr/m²; Giá T5/23: 47,4 tr/m²; Giá T6/23: 50,7 tr/m²; Giá T7/23: 48,3 tr/m²; Giá T8/23: 53,2 tr/m²; Giá T9/23: 53,1 tr/m²; Giá T10/23: 54,5 tr/m²; Giá T11/23: 55,5 tr/m²; Giá T12/23: 55,8 tr/m²; Giá T1/24: 55,9 tr/m²; Giá T2/24: 60,4 tr/m²; Giá T3/24: 63,9 tr/m²; Giá T4/24: 65,1 tr/m²; Giá T5/24: 64,2 tr/m²; Giá T6/24: 64,8 tr/m²; Giá T7/24: 68,2 tr/m²; Giá T8/24: 73,1 tr/m²; Giá T9/24: 73,7 tr/m²; Giá T10/24: 78,1 tr/m²;  ","41,8 55; 42,4 58; 41,9 54,5; 40,9 57,1; 42,2 57,2; 41,6 57,9; 40,7 56,4; 41 54,8; 41,8 56,9; 41,3 56,5; 43,2 58,7; 45,6 59,5; 46,5 60; 47,8 61,3; 47 61,5; 46 66,7; 51,2 69,2; 52,5 72; 53,2 72,7; 50 72,6; 55,2 72,6; 56,1 77,2; 55,8 85,5; 58,4 83,6; 62,6 86,8"
Phường Thượng Đình,Thanh Xuân,Hà Nội,Tập đoàn Vingroup,Royal City,109.0,72.47706604003906,2.0,2.0,Đã có sổ đỏ chính chủ.,Cơ bản hoặc sửa lại full nội thất tùy từng nhà.,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 51,7 tr/m²; Giá T11/22: 51,1 tr/m²; Giá T12/22: 51,6 tr/m²; Giá T1/23: 47,3 tr/m²; Giá T2/23: 51,6 tr/m²; Giá T3/23: 54,3 tr/m²; Giá T4/23: 56,5 tr/m²; Giá T5/23: 54,1 tr/m²; Giá T6/23: 54 tr/m²; Giá T7/23: 55,4 tr/m²; Giá T8/23: 58,7 tr/m²; Giá T9/23: 57,2 tr/m²; Giá T10/23: 58,6 tr/m²; Giá T11/23: 62,6 tr/m²; Giá T12/23: 62,4 tr/m²; Giá T1/24: 65 tr/m²; Giá T2/24: 68,6 tr/m²; Giá T3/24: 73,3 tr/m²; Giá T4/24: 76,7 tr/m²; Giá T5/24: 78 tr/m²; Giá T6/24: 78,4 tr/m²; Giá T7/24: 76,2 tr/m²; Giá T8/24: 84,5 tr/m²; Giá T9/24: 83,4 tr/m²; Giá T10/24: 84,1 tr/m²;  ","43,5 68,6; 44,1 70,2; 43,1 70,1; 40,6 63,1; 41,4 74,5; 43,7 73,7; 43,7 82,2; 45 72,2; 45,6 68,2; 47 74,8; 46,7 78,2; 49,6 76,9; 50 78,3; 52,8 81,8; 51,7 78; 53,1 96; 54,6 76,8; 59,1 89,2; 65,2 103; 62,5 100; 64 100,2; 64 105,3; 67,7 103,8; 68,1 105,1; 71,6 106,3"
Phường La Khê,Hà Đông,Hà Nội,Công ty CP Đầu tư Hải Phát,HPC Landmark 105,118.0,42.37288284301758,3.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 29,1 tr/m²; Giá T11/22: 28,5 tr/m²; Giá T12/22: 28,2 tr/m²; Giá T1/23: 26,7 tr/m²; Giá T2/23: 27,3 tr/m²; Giá T3/23: 28 tr/m²; Giá T4/23: 28 tr/m²; Giá T5/23: 28 tr/m²; Giá T6/23: 28,9 tr/m²; Giá T7/23: 28,8 tr/m²; Giá T8/23: 29,8 tr/m²; Giá T9/23: 30 tr/m²; Giá T10/23: 31,1 tr/m²; Giá T11/23: 33,6 tr/m²; Giá T12/23: 33,6 tr/m²; Giá T1/24: 37,4 tr/m²; Giá T2/24: 39,1 tr/m²; Giá T3/24: 42,7 tr/m²; Giá T4/24: 42,1 tr/m²; Giá T5/24: 41,3 tr/m²; Giá T6/24: 42 tr/m²; Giá T7/24: 42,4 tr/m²; Giá T8/24: 43,3 tr/m²; Giá T9/24: 47,1 tr/m²; Giá T10/24: 53,6 tr/m²;  ","25,4 32,6; 23,9 33,7; 25 31,8; 24,6 31; 24,8 31,5; 24,8 33,8; 24,3 32,1; 25,8 32,2; 26 33,2; 26,3 35,5; 25,8 33,2; 26,3 33; 27,4 34,4; 29,4 40,1; 30,9 37,5; 33,5 40,4; 35 43,1; 37,4 46,8; 36,6 47; 37,4 45,3; 38,3 45,3; 38,3 47,9; 38,7 49,6; 40,6 54,1; 45,4 59,8"
Phú Thượng,Tây Hồ,Hà Nội,Công ty TNHH phát triển khu đô thị Nam Thăng Long,Khu đô thị Nam Thăng Long - Ciputra,121.0,51.23966979980469,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 43,5 tr/m²; Giá T11/22: 43,3 tr/m²; Giá T12/22: 45,4 tr/m²; Giá T1/23: 43,1 tr/m²; Giá T2/23: 46 tr/m²; Giá T3/23: 46,2 tr/m²; Giá T4/23: 43,7 tr/m²; Giá T5/23: 43,7 tr/m²; Giá T6/23: 47 tr/m²; Giá T7/23: 44,3 tr/m²; Giá T8/23: 44,7 tr/m²; Giá T9/23: 45,8 tr/m²; Giá T10/23: 46,7 tr/m²; Giá T11/23: 46,9 tr/m²; Giá T12/23: 47,3 tr/m²; Giá T1/24: 47,8 tr/m²; Giá T2/24: 45,5 tr/m²; Giá T3/24: 50,8 tr/m²; Giá T4/24: 55,3 tr/m²; Giá T5/24: 59,6 tr/m²; Giá T6/24: 57,9 tr/m²; Giá T7/24: 63,2 tr/m²; Giá T8/24: 62,4 tr/m²; Giá T9/24: 66,3 tr/m²; Giá T10/24: 72 tr/m²;  ","35,9 58,2; 35,3 67,2; 35,9 64,9; 35 52; 34,1 68,4; 34,6 73,5; 35,7 53,9; 35 60,9; 35,5 67,1; 36 66,1; 35,9 65,5; 36,1 65,9; 39,3 65,8; 37,6 65,6; 36,1 64,9; 41,3 60,7; 37,4 57,9; 43,8 66,4; 49 69,1; 48,2 77; 48 80,4; 49,4 87,5; 52 84,4; 54,1 84,4; 58,9 90,9"
Xã Dương Xá,Gia Lâm,Hà Nội,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,52.0,47.11538314819336,1.0,1.0,Sổ đỏ/ Sổ hồng.,Cơ bản.,Không có thông tin,Đông - Bắc,Không có thông tin,"Giá T10/22: 31,6 tr/m²; Giá T11/22: 30,6 tr/m²; Giá T12/22: 29,8 tr/m²; Giá T1/23: 29,8 tr/m²; Giá T2/23: 29,7 tr/m²; Giá T3/23: 30,2 tr/m²; Giá T4/23: 30,7 tr/m²; Giá T5/23: 30,7 tr/m²; Giá T6/23: 30,7 tr/m²; Giá T7/23: 30,2 tr/m²; Giá T8/23: 30,6 tr/m²; Giá T9/23: 31,3 tr/m²; Giá T10/23: 31,9 tr/m²; Giá T11/23: 32,4 tr/m²; Giá T12/23: 32,4 tr/m²; Giá T1/24: 33,4 tr/m²; Giá T2/24: 33,8 tr/m²; Giá T3/24: 36,4 tr/m²; Giá T4/24: 39,4 tr/m²; Giá T5/24: 39,1 tr/m²; Giá T6/24: 40,3 tr/m²; Giá T7/24: 41,7 tr/m²; Giá T8/24: 45,4 tr/m²; Giá T9/24: 48 tr/m²; Giá T10/24: 50,7 tr/m²;  ","27,4 45; 27,2 41,4; 26,5 38,3; 25,4 42,5; 25,7 41,5; 26,1 40,4; 26 40,2; 25,8 39,3; 26,4 37,8; 26,1 37,6; 27 40; 26,7 42; 27,4 39; 28,1 40; 28,7 41,1; 29,3 42,5; 30 41,9; 31,7 46,6; 34,3 48,3; 35 46,3; 35,6 47,4; 37,5 50,5; 40,2 55,2; 41,9 59,7; 43,3 62,7"
Phường La Khê,Hà Đông,Hà Nội.,Công ty CP Phát triển Đô thị Quốc tế Việt Nam,Park Kiara,82.0,91.46341705322266,2.0,2.0,Sổ đỏ/ Sổ hồng,Nội thất cơ bản,Không có thông tin,Đông,Không có thông tin,"Giá T10/22: 53,2 tr/m²; Giá T11/22: 53 tr/m²; Giá T12/22: 53,5 tr/m²; Giá T1/23: 51,8 tr/m²; Giá T2/23: 54,8 tr/m²; Giá T3/23: 55,5 tr/m²; Giá T4/23: 56,1 tr/m²; Giá T5/23: 57 tr/m²; Giá T6/23: 56 tr/m²; Giá T7/23: 55 tr/m²; Giá T8/23: 56,3 tr/m²; Giá T9/23: 55,6 tr/m²; Giá T10/23: 57 tr/m²; Giá T11/23: 64,5 tr/m²; Giá T12/23: 63,3 tr/m²; Giá T1/24: 62,1 tr/m²; Giá T2/24: 63,6 tr/m²; Giá T3/24: 64,2 tr/m²; Giá T4/24: 77,4 tr/m²; Giá T5/24: 71,6 tr/m²; Giá T6/24: 82,7 tr/m²; Giá T7/24: 88,2 tr/m²; Giá T8/24: 88,2 tr/m²; Giá T9/24: 88,2 tr/m²; Giá T10/24: 91,3 tr/m²;  ","48,2 59,2; 50 58,4; 50 58,8; 47,3 52,9; 49,9 60,3; 50 59,9; 50 63,9; 50 65; 48,8 70,1; 48,8 61,2; 51,7 74,1; 51,2 64,9; 53,8 89; 56,9 83,8; 56,1 90,9; 55,4 90,9; 58,5 71,5; 59,9 81; 66,2 84; 69 85,3; 70,1 86,6; 76,7 88,2; 75,8 89,7; 81,9 91,6; 86,9 95,5"
Phường Hoàng Liệt,Hoàng Mai,Hà Nội,Công ty CP Tập đoàn Hưng Thịnh,Hà Nội Melody Residences,80.0,60.0,2.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,Không có thông tin,Đông - Nam,Không có thông tin,"Giá T10/22: 33,3 tr/m²; Giá T11/22: 31,3 tr/m²; Giá T12/22: 30 tr/m²; Giá T1/23: 30 tr/m²; Giá T2/23: 29,4 tr/m²; Giá T3/23: 28 tr/m²; Giá T4/23: 32 tr/m²; Giá T5/23: 30,9 tr/m²; Giá T6/23: 31,6 tr/m²; Giá T7/23: 30,3 tr/m²; Giá T8/23: 29,6 tr/m²; Giá T9/23: 29,9 tr/m²; Giá T10/23: 30 tr/m²; Giá T11/23: 30,8 tr/m²; Giá T12/23: 33,4 tr/m²; Giá T1/24: 31 tr/m²; Giá T2/24: 34,1 tr/m²; Giá T3/24: 35 tr/m²; Giá T4/24: 40 tr/m²; Giá T5/24: 43,9 tr/m²; Giá T6/24: 40 tr/m²; Giá T7/24: 43,9 tr/m²; Giá T8/24: 50,5 tr/m²; Giá T9/24: 54,9 tr/m²; Giá T10/24: 62 tr/m²;  ","30 45; 27 37,4; 28,1 42,9; 27 41,7; 25,7 40; 26,1 31,7; 26,5 43,8; 26,7 45; 27,8 41,2; 28,2 44,9; 26,8 41,4; 26,6 32,8; 28,1 37,7; 27,1 49,1; 28,8 37,7; 27,5 34,8; 29,4 41,8; 30,8 44,7; 32,7 45,9; 32,4 48,4; 34 47,2; 35,9 52,2; 39,7 60,3; 45 70; 48,5 70,6"
Xã Dương Xá,Gia Lâm,Hà Nội,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,69.2,44.797691345214844,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Tây - Bắc,Không có thông tin,"Giá T10/22: 31,6 tr/m²; Giá T11/22: 30,6 tr/m²; Giá T12/22: 29,8 tr/m²; Giá T1/23: 29,8 tr/m²; Giá T2/23: 29,7 tr/m²; Giá T3/23: 30,2 tr/m²; Giá T4/23: 30,7 tr/m²; Giá T5/23: 30,7 tr/m²; Giá T6/23: 30,7 tr/m²; Giá T7/23: 30,2 tr/m²; Giá T8/23: 30,6 tr/m²; Giá T9/23: 31,3 tr/m²; Giá T10/23: 31,9 tr/m²; Giá T11/23: 32,4 tr/m²; Giá T12/23: 32,4 tr/m²; Giá T1/24: 33,4 tr/m²; Giá T2/24: 33,8 tr/m²; Giá T3/24: 36,4 tr/m²; Giá T4/24: 39,4 tr/m²; Giá T5/24: 39,1 tr/m²; Giá T6/24: 40,3 tr/m²; Giá T7/24: 41,7 tr/m²; Giá T8/24: 45,4 tr/m²; Giá T9/24: 48 tr/m²; Giá T10/24: 50,7 tr/m²;  ","27,4 45; 27,2 41,4; 26,5 38,3; 25,4 42,5; 25,7 41,5; 26,1 40,4; 26 40,2; 25,8 39,3; 26,4 37,8; 26,1 37,6; 27 40; 26,7 42; 27,4 39; 28,1 40; 28,7 41,1; 29,3 42,5; 30 41,9; 31,7 46,6; 34,3 48,3; 35 46,3; 35,6 47,4; 37,5 50,5; 40,2 55,2; 41,9 59,7; 43,3 62,7"
Phường Mỹ Đình 2,Nam Từ Liêm,Hà Nội,HD Mon Holdings,The Zei Mỹ Đình,106.3,88.05268096923828,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 57,6 tr/m²; Giá T11/22: 57,9 tr/m²; Giá T12/22: 57,1 tr/m²; Giá T1/23: 62,5 tr/m²; Giá T2/23: 57,9 tr/m²; Giá T3/23: 56,1 tr/m²; Giá T4/23: 59,2 tr/m²; Giá T5/23: 57,3 tr/m²; Giá T6/23: 55,6 tr/m²; Giá T7/23: 56,6 tr/m²; Giá T8/23: 59 tr/m²; Giá T9/23: 58,4 tr/m²; Giá T10/23: 59,1 tr/m²; Giá T11/23: 58,3 tr/m²; Giá T12/23: 59,4 tr/m²; Giá T1/24: 62,1 tr/m²; Giá T2/24: 67,9 tr/m²; Giá T3/24: 67,6 tr/m²; Giá T4/24: 70,7 tr/m²; Giá T5/24: 67,7 tr/m²; Giá T6/24: 67,4 tr/m²; Giá T7/24: 70,7 tr/m²; Giá T8/24: 76,8 tr/m²; Giá T9/24: 78,6 tr/m²; Giá T10/24: 83,9 tr/m²;  ","51,2 93,2; 51,1 87,5; 50 77,9; 50 88,2; 48,9 75,1; 49,5 77,5; 47,8 84,6; 49,3 83,8; 50 79,6; 51,8 71,4; 49,5 72,3; 50,9 72,7; 50,6 79,9; 50 70,7; 52,4 72,7; 50 73; 51,4 84,9; 56,9 77,5; 59,6 86,1; 56 89,3; 56,1 95,8; 54,9 97,3; 65,6 102,7; 66 102,3; 69,9 103,1"
Phường Mỹ Đình 2,Nam Từ Liêm,Hà Nội,HD Mon Holdings,The Zei Mỹ Đình,107.8,89.14656829833984,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 57,6 tr/m²; Giá T11/22: 57,9 tr/m²; Giá T12/22: 57,1 tr/m²; Giá T1/23: 62,5 tr/m²; Giá T2/23: 57,9 tr/m²; Giá T3/23: 56,1 tr/m²; Giá T4/23: 59,2 tr/m²; Giá T5/23: 57,3 tr/m²; Giá T6/23: 55,6 tr/m²; Giá T7/23: 56,6 tr/m²; Giá T8/23: 59 tr/m²; Giá T9/23: 58,4 tr/m²; Giá T10/23: 59,1 tr/m²; Giá T11/23: 58,3 tr/m²; Giá T12/23: 59,4 tr/m²; Giá T1/24: 62,1 tr/m²; Giá T2/24: 67,9 tr/m²; Giá T3/24: 67,6 tr/m²; Giá T4/24: 70,7 tr/m²; Giá T5/24: 67,7 tr/m²; Giá T6/24: 67,4 tr/m²; Giá T7/24: 70,7 tr/m²; Giá T8/24: 76,8 tr/m²; Giá T9/24: 78,6 tr/m²; Giá T10/24: 83,9 tr/m²;  ","51,2 93,2; 51,1 87,5; 50 77,9; 50 88,2; 48,9 75,1; 49,5 77,5; 47,8 84,6; 49,3 83,8; 50 79,6; 51,8 71,4; 49,5 72,3; 50,9 72,7; 50,6 79,9; 50 70,7; 52,4 72,7; 50 73; 51,4 84,9; 56,9 77,5; 59,6 86,1; 56 89,3; 56,1 95,8; 54,9 97,3; 65,6 102,7; 66 102,3; 69,9 103,1"
Thượng Đình,Thanh Xuân,Hà Nội,Tập đoàn Vingroup,Royal City,145.0,75.86206817626953,3.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Tây - Bắc,Không có thông tin,"Giá T10/22: 51,7 tr/m²; Giá T11/22: 51,1 tr/m²; Giá T12/22: 51,6 tr/m²; Giá T1/23: 47,3 tr/m²; Giá T2/23: 51,6 tr/m²; Giá T3/23: 54,3 tr/m²; Giá T4/23: 56,5 tr/m²; Giá T5/23: 54,1 tr/m²; Giá T6/23: 54 tr/m²; Giá T7/23: 55,4 tr/m²; Giá T8/23: 58,7 tr/m²; Giá T9/23: 57,2 tr/m²; Giá T10/23: 58,6 tr/m²; Giá T11/23: 62,6 tr/m²; Giá T12/23: 62,4 tr/m²; Giá T1/24: 65 tr/m²; Giá T2/24: 68,6 tr/m²; Giá T3/24: 73,3 tr/m²; Giá T4/24: 76,7 tr/m²; Giá T5/24: 78 tr/m²; Giá T6/24: 78,4 tr/m²; Giá T7/24: 76,2 tr/m²; Giá T8/24: 84,5 tr/m²; Giá T9/24: 83,4 tr/m²; Giá T10/24: 84,1 tr/m²;  ","43,5 68,6; 44,1 70,2; 43,1 70,1; 40,6 63,1; 41,4 74,5; 43,7 73,7; 43,7 82,2; 45 72,2; 45,6 68,2; 47 74,8; 46,7 78,2; 49,6 76,9; 50 78,3; 52,8 81,8; 51,7 78; 53,1 96; 54,6 76,8; 59,1 89,2; 65,2 103; 62,5 100; 64 100,2; 64 105,3; 67,7 103,8; 68,1 105,1; 71,6 106,3"
Phường Tây Mỗ,Nam Từ Liêm,Hà Nội.,Đang cập nhật,The Sakura - Vinhomes Smart City,75.5,70.86092376708984,3.0,2.0,Sẵn sổ đỏ sang tên.,"Nội thất cao cấp,",Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 44,7 tr/m²; Giá T11/22: 45,8 tr/m²; Giá T12/22: 46,1 tr/m²; Giá T1/23: 45,6 tr/m²; Giá T2/23: 45,7 tr/m²; Giá T3/23: 46,3 tr/m²; Giá T4/23: 43,6 tr/m²; Giá T5/23: 42,1 tr/m²; Giá T6/23: 42,6 tr/m²; Giá T7/23: 42,9 tr/m²; Giá T8/23: 42 tr/m²; Giá T9/23: 43,5 tr/m²; Giá T10/23: 45,8 tr/m²; Giá T11/23: 48,1 tr/m²; Giá T12/23: 48,9 tr/m²; Giá T1/24: 49,7 tr/m²; Giá T2/24: 51,5 tr/m²; Giá T3/24: 55,3 tr/m²; Giá T4/24: 56,5 tr/m²; Giá T5/24: 58,3 tr/m²; Giá T6/24: 58,2 tr/m²; Giá T7/24: 59,7 tr/m²; Giá T8/24: 63,1 tr/m²; Giá T9/24: 65,7 tr/m²; Giá T10/24: 67,4 tr/m²;  ","38,7 51,9; 40,1 53,6; 39 53,4; 41,2 57,8; 37,4 55,8; 38,9 54,1; 38,7 53,3; 38,3 49,7; 38,6 49,2; 38,8 48,9; 38,5 50,6; 38,7 51,9; 40,4 51,6; 42,7 55,1; 42,7 58; 44,5 56,6; 45,5 64,2; 49,3 64,1; 48,6 64,5; 51,8 67,1; 50 66,2; 51,7 67,2; 55 68,5; 57,8 70,8; 58,5 75,4"
Phường Phú Thượng,Tây Hồ,Hà Nội,Công ty CP Tập đoàn Sunshine,Sunshine Riverside,95.0,68.42105102539062,3.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,Không có thông tin,Nam,Không có thông tin,"Giá T10/22: 46,8 tr/m²; Giá T11/22: 46,3 tr/m²; Giá T12/22: 46,4 tr/m²; Giá T1/23: 45,6 tr/m²; Giá T2/23: 46,6 tr/m²; Giá T3/23: 45,3 tr/m²; Giá T4/23: 44,4 tr/m²; Giá T5/23: 46 tr/m²; Giá T6/23: 47,4 tr/m²; Giá T7/23: 48,2 tr/m²; Giá T8/23: 48,7 tr/m²; Giá T9/23: 50 tr/m²; Giá T10/23: 50 tr/m²; Giá T11/23: 50 tr/m²; Giá T12/23: 50,7 tr/m²; Giá T1/24: 51,5 tr/m²; Giá T2/24: 51,7 tr/m²; Giá T3/24: 55 tr/m²; Giá T4/24: 60 tr/m²; Giá T5/24: 61,3 tr/m²; Giá T6/24: 60,6 tr/m²; Giá T7/24: 64,6 tr/m²; Giá T8/24: 67,6 tr/m²; Giá T9/24: 70,9 tr/m²; Giá T10/24: 71,9 tr/m²;  ","42,1 80,7; 41,9 80,4; 41,9 56,1; 42,4 52,4; 41 55,3; 41,5 54,5; 38,5 50,2; 43,2 52,1; 42,5 60,2; 44,1 53,4; 44,7 53,6; 46,2 57; 45,2 57,1; 45,2 56,6; 45,4 56,1; 47,7 60,2; 47,5 59; 48,6 64,8; 51,6 66,9; 56,5 67; 57 69,8; 58,1 71,1; 62,3 74,9; 65,7 84,2; 68 81,4"
Phường Cầu Diễn,Nam Từ Liêm,Hà Nội.,Vimefulland,Iris Garden,105.0,61.904762268066406,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 41,8 tr/m²; Giá T11/22: 41 tr/m²; Giá T12/22: 40,5 tr/m²; Giá T1/23: 40 tr/m²; Giá T2/23: 40,1 tr/m²; Giá T3/23: 39 tr/m²; Giá T4/23: 40,5 tr/m²; Giá T5/23: 40,5 tr/m²; Giá T6/23: 40,4 tr/m²; Giá T7/23: 40,8 tr/m²; Giá T8/23: 41,3 tr/m²; Giá T9/23: 41,9 tr/m²; Giá T10/23: 45,2 tr/m²; Giá T11/23: 44,6 tr/m²; Giá T12/23: 47,1 tr/m²; Giá T1/24: 46,3 tr/m²; Giá T2/24: 46 tr/m²; Giá T3/24: 54,8 tr/m²; Giá T4/24: 56,5 tr/m²; Giá T5/24: 55,5 tr/m²; Giá T6/24: 56,4 tr/m²; Giá T7/24: 55,2 tr/m²; Giá T8/24: 59,6 tr/m²; Giá T9/24: 60,3 tr/m²; Giá T10/24: 64,3 tr/m²;  ","35,9 49,2; 35,6 50,8; 34,8 47,4; 36,8 43,2; 34,9 47,8; 34,6 43,2; 34 44,4; 35,1 45; 34,1 46,1; 35,2 44,9; 35,9 47,8; 36,8 45,2; 38,4 50,8; 38,5 52,2; 38,5 55,6; 40 52,7; 39,9 54,4; 41,2 62,6; 48,5 62,1; 46,4 61,7; 48,1 60,7; 45,6 62,9; 49,6 69,1; 47,4 72,8; 51,9 78,3"
Phường Tây Mỗ,Nam Từ Liêm,Hà Nội.,Tập đoàn Vingroup,The Miami,74.8,56.14973068237305,3.0,2.0,- Sổ đỏ chính chủ.,- Full nội thất đẹp như hình ảnh. - Full nội thất đẹp như hình ảnh.,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 39 tr/m²; Giá T11/22: 40,1 tr/m²; Giá T12/22: 40,9 tr/m²; Giá T1/23: 38,8 tr/m²; Giá T2/23: 41,3 tr/m²; Giá T3/23: 41,4 tr/m²; Giá T4/23: 44,1 tr/m²; Giá T5/23: 43 tr/m²; Giá T6/23: 42 tr/m²; Giá T7/23: 42,8 tr/m²; Giá T8/23: 41,4 tr/m²; Giá T9/23: 42,4 tr/m²; Giá T10/23: 44,9 tr/m²; Giá T11/23: 47,1 tr/m²; Giá T12/23: 44,1 tr/m²; Giá T1/24: 50 tr/m²; Giá T2/24: 51,6 tr/m²; Giá T3/24: 53,3 tr/m²; Giá T4/24: 53,3 tr/m²; Giá T5/24: 57,4 tr/m²; Giá T6/24: 57,7 tr/m²; Giá T7/24: 57 tr/m²; Giá T8/24: 60,8 tr/m²; Giá T9/24: 61,7 tr/m²; Giá T10/24: 63,6 tr/m²;  ","35,5 45,7; 38,2 45,8; 37,6 47,4; 38,2 41,9; 38,5 46,7; 37,5 47,3; 38,9 51,1; 38,9 48,3; 37,3 48,2; 37,7 45,9; 37,9 45,9; 37,1 48,5; 40,7 49,2; 42,7 58,2; 41,1 54,4; 43,4 57,8; 46,9 62,9; 44,3 62; 45,2 59,2; 49,1 67,5; 49,8 65,4; 48,9 65,2; 52,1 67,9; 53 71,5; 54,8 72,7"
Phường Nhân Chính,Thanh Xuân,Hà Nội,Đang cập nhật,The Diamond Residence,151.0,85.43046569824219,4.0,3.0,Hợp đồng mua bán.,Không nội thất.,Không có thông tin,Đông - Bắc,Không có thông tin,"Giá T10/22: 65,7 tr/m²; Giá T11/22: 66,7 tr/m²; Giá T12/22: 65,9 tr/m²; Giá T1/23: 67,6 tr/m²; Giá T2/23: 63 tr/m²; Giá T3/23: 62,5 tr/m²; Giá T4/23: 62,1 tr/m²; Giá T5/23: 61,3 tr/m²; Giá T6/23: 59 tr/m²; Giá T7/23: 61,9 tr/m²; Giá T8/23: 61,3 tr/m²; Giá T9/23: 61 tr/m²; Giá T10/23: 61 tr/m²; Giá T11/23: 60,7 tr/m²; Giá T12/23: 66,8 tr/m²; Giá T1/24: 68,1 tr/m²; Giá T2/24: 69,8 tr/m²; Giá T3/24: 72,4 tr/m²; Giá T4/24: 75,9 tr/m²; Giá T5/24: 79,2 tr/m²; Giá T6/24: 76 tr/m²; Giá T7/24: 78,4 tr/m²; Giá T8/24: 90 tr/m²; Giá T9/24: 90,1 tr/m²; Giá T10/24: 90 tr/m²;  ","56,2 78,6; 58,3 76,1; 56,5 71,6; 54,9 73,4; 54,4 72; 55,1 76,7; 54,8 75,6; 55,6 74,1; 55,3 70,2; 55,2 79,3; 55 70,7; 55,8 74,6; 55,1 72,7; 55,5 72,8; 55,9 79,5; 60,1 86,8; 60 85,1; 62,8 93,5; 64 91,9; 67 90; 67,9 92; 70 94; 73,5 100,4; 83 107,8; 81,5 101,7"
Phường Phú Diễn,Bắc Từ Liêm,Hà Nội,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,Goldmark City,134.5,66.91449737548828,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 37,4 tr/m²; Giá T11/22: 37,2 tr/m²; Giá T12/22: 37,2 tr/m²; Giá T1/23: 35,7 tr/m²; Giá T2/23: 35,9 tr/m²; Giá T3/23: 36,2 tr/m²; Giá T4/23: 37,3 tr/m²; Giá T5/23: 37 tr/m²; Giá T6/23: 36,9 tr/m²; Giá T7/23: 37,2 tr/m²; Giá T8/23: 38,2 tr/m²; Giá T9/23: 39,4 tr/m²; Giá T10/23: 40,4 tr/m²; Giá T11/23: 42,9 tr/m²; Giá T12/23: 43 tr/m²; Giá T1/24: 44,1 tr/m²; Giá T2/24: 44,9 tr/m²; Giá T3/24: 49,1 tr/m²; Giá T4/24: 50 tr/m²; Giá T5/24: 50 tr/m²; Giá T6/24: 50 tr/m²; Giá T7/24: 52,6 tr/m²; Giá T8/24: 57,4 tr/m²; Giá T9/24: 60,6 tr/m²; Giá T10/24: 63,7 tr/m²;  ","32,6 43,4; 32,1 44,2; 31,2 44,9; 30,9 41; 30,1 44,8; 29,7 42,6; 32,1 42,2; 32,8 41,7; 33 41,5; 31,9 42,1; 33,6 46,2; 33,5 45,2; 35,7 48,1; 36,4 49,7; 36,5 49,8; 37,3 53,2; 36,6 52,2; 40 56,7; 40 57,1; 43 57,4; 43 57,5; 43,3 61,8; 45,1 67,5; 48,5 70,5; 53,5 73,5"
