Xã/Phường,Quận/Huyện,Chủ đầu tư,Tên dự án,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Hướng nhà,Hướng ban công,Mã lịch sử giá
Khương Đình,Thanh Xuân,Tư nhân,Tư nhân,33.0,189.39393615722656,7.0,4.0,Đầy đủ,Đầy đủ,"3,3 m",Đông - Bắc,Đông - Bắc,M
An Khánh,Hoài Đức,Công ty TNHH Một thành viên Du lịch Giải trí Thiên đường Bảo Sơn,Khu biệt thự Thiên Đường Bảo Sơn,130.0,146.15383911132812,4.0,4.0,Đầy đủ,Cơ bản,"6,6 m",Tây - Nam,Tây - Nam,Q
Giang Biên,Long Biên,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,Khu đô thị Việt Hưng,234.0,205.12820434570312,6.0,5.0,Đầy đủ,Cơ bản,17 m,Tây - Bắc,Tây - Bắc,M
Mễ Trì,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Green Bay Mễ Trì,93.0,440.8602294921875,6.0,4.0,Đầy đủ,Không nội thất,6 m,Tây - Bắc,Đông - Nam,N
Vân Canh,Hoài Đức,Công ty CP Đầu tư An Lạc,An Lạc Green Symphony,80.0,225.0,5.0,4.0,Hợp đồng mua bán,Không nội thất,5 m,Đông - Nam,Đông - Nam,M
Văn Quán,Hà Đông,Tư nhân,Tư nhân,38.0,172.36842346191406,3.0,3.0,Đầy đủ,Cơ bản,3 m,Tây - Nam,Tây - Nam,M
Yên Hòa,Cầu Giấy,Tư nhân,Tư nhân,50.0,329.0,4.0,4.0,Đầy đủ,Đầy đủ,34 m,Đông - Nam,Đông - Nam,M
Kiến Hưng,Hà Đông,Tư nhân,Tư nhân,30.2,192.052978515625,3.0,4.0,Đầy đủ,Đầy đủ,3 m,Tây,Đông - Nam,M
Yên Hòa,Cầu Giấy,Tư nhân,Tư nhân,30.0,298.3333435058594,4.0,5.0,Đầy đủ,Đầy đủ,33 m,Tây - Bắc,Tây - Bắc,M
Văn Quán,Hà Đông,Tư nhân,Tư nhân,30.0,220.0,3.0,4.0,Đầy đủ,Cơ bản,34 m,Tây - Nam,Tây - Nam,M
Hoàng Văn Thụ,Hoàng Mai,Tư nhân,Tư nhân,56.0,273.21429443359375,3.0,3.0,Đầy đủ,Đầy đủ,"4,6 m",Tây,Tây,M
Thạch Bàn,Long Biên,Tư nhân,Tư nhân,31.0,145.16128540039062,3.0,3.0,Đầy đủ,Cơ bản,"3,8 m",Tây,Tây,M
Sơn Đồng,Hoài Đức,Công ty Cổ phần Địa ốc MB,Sơn Đồng Center,90.0,111.11111450195312,6.0,4.0,Đầy đủ,Không nội thất,"6,25 m",Bắc,Bắc,Q
Vân Canh,Hoài Đức,Tư nhân,Tư nhân,30.0,156.6666717529297,3.0,4.0,Đầy đủ,Đầy đủ,"4,5 m",Đông - Nam,Đông - Nam,M
Đức Giang,Long Biên,Tư nhân,Tư nhân,180.0,316.6666564941406,2.0,2.0,Đầy đủ,Cơ bản,9 m,Đông - Nam,Đông - Nam,M
Hàng Bông,Hoàn Kiếm,Tư nhân,Tư nhân,370.0,1486.4864501953125,55.0,55.0,Đầy đủ,Đầy đủ,10 m,Tây - Nam,Tây - Nam,M
Xuân Đỉnh,Bắc Từ Liêm,Tư nhân,Tư nhân,30.0,205.0,5.0,5.0,Đầy đủ,Cơ bản,3 m,Tây - Bắc,Tây - Bắc,M
Thanh Lâm,Mê Linh,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,HUD Me Linh Central,523.0,66.9216079711914,5.0,3.0,Hợp đồng mua bán,Không nội thất,15 m,Đông - Bắc,Đông - Nam,M
Thanh Xuân Trung,Thanh Xuân,Tư nhân,Tư nhân,46.0,173.9130401611328,2.0,3.0,Đầy đủ,Không nội thất,"3,8 m",Đông - Nam,Đông - Nam,M
Nghĩa Đô,Cầu Giấy,Tư nhân,Tư nhân,83.0,368.6747131347656,6.0,5.0,Đầy đủ,Cơ bản,"4,3 m",Bắc,Bắc,M
Trâu Quỳ,Gia Lâm,Tư nhân,Tư nhân,140.0,192.85714721679688,4.0,5.0,Đầy đủ,Đầy đủ,7 m,Đông - Nam,Đông - Nam,Q
Cổ Nhuế 1,Bắc Từ Liêm,Tư nhân,Tư nhân,80.0,15.600000381469727,1.0,1.0,Đầy đủ,Cơ bản,"4,5 m",Tây,Tây,M
Khương Mai,Thanh Xuân,Tư nhân,Tư nhân,46.0,326.0869445800781,6.0,4.0,Đầy đủ,Đầy đủ,"3,55 m",Đông - Nam,Đông - Nam,M
Thạch Bàn,Long Biên,Tư nhân,Tư nhân,45.0,286.6666564941406,3.0,3.0,Đầy đủ,Cơ bản,"4,2 m",Đông,Đông,M
Thạch Bàn,Long Biên,Tư nhân,Tư nhân,32.0,140.3125,3.0,4.0,Đầy đủ,Cơ bản,"3,5 m",Đông,Đông,M
Phú Thượng,Tây Hồ,Tư nhân,Tư nhân,279.0,412.1863708496094,6.0,6.0,Đầy đủ,Đầy đủ,19 m,Tây - Bắc,Tây - Bắc,M
Vạn Phúc,Hà Đông,Tư nhân,Tư nhân,50.0,270.0,5.0,4.0,Đầy đủ,Đầy đủ,4 m,Đông - Bắc,Đông - Bắc,M
Trung Liệt,Đống Đa,Tư nhân,Tư nhân,34.0,285.29412841796875,5.0,4.0,Đầy đủ,Đầy đủ,36 m,Tây - Bắc,Tây - Bắc,M
Xuân La,Tây Hồ,Tư nhân,Tư nhân,43.0,616.279052734375,12.0,12.0,Đầy đủ,Đầy đủ,5 m,Đông - Nam,Đông - Nam,M
Di Trạch,Hoài Đức,Công ty Vietracimex,Hinode Royal Park,100.0,170.0,5.0,5.0,Hợp đồng mua bán,Không nội thất,5 m,Đông - Nam,Tây - Bắc,M
Giáp Bát,Hoàng Mai,Tư nhân,Tư nhân,42.0,269.047607421875,6.0,4.0,Đầy đủ,Cơ bản,4 m,Đông - Nam,Đông - Bắc,M
Phú Thượng,Tây Hồ,Tư nhân,Tư nhân,77.0,56.493507385253906,2.0,2.0,Đầy đủ,Cơ bản,5 m,Tây - Bắc,Đông - Nam,M
Việt Hưng,Long Biên,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,Khu đô thị Việt Hưng,238.0,252.10084533691406,5.0,5.0,Đầy đủ,Đầy đủ,14 m,Đông - Nam,Đông - Nam,M
Kim Chung,Hoài Đức,Tư nhân,Tư nhân,43.0,113.9534912109375,5.0,4.0,Đầy đủ,Đầy đủ,4 m,Nam,Nam,M
Cầu Diễn,Nam Từ Liêm,Tổng Công ty Đầu tư phát triển nhà và đô thị Bộ Quốc Phòng,Khu đô thị Mỹ Đình I,120.0,304.1666564941406,4.0,5.0,Đầy đủ,Đầy đủ,30 m,Đông - Nam,Đông - Nam,M
Thạch Bàn,Long Biên,Tư nhân,Tư nhân,30.0,183.3333282470703,3.0,4.0,Đầy đủ,Cơ bản,"4,3 m",Tây - Nam,Tây - Nam,M
Phúc Lợi,Long Biên,Tư nhân,Tư nhân,90.0,211.11111450195312,6.0,6.0,Đầy đủ,Cao cấp,6 m,Tây - Bắc,Tây - Bắc,M
Bồ Đề,Long Biên,Tư nhân,Tư nhân,60.0,230.0,4.0,5.0,Đầy đủ,Đầy đủ,"5,5 m",Tây - Bắc,Tây - Bắc,M
Vĩnh Tuy,Hai Bà Trưng,Tư nhân,Tư nhân,41.0,217.0731658935547,3.0,3.0,Đầy đủ,Cơ bản,"3,25 m",Bắc,Bắc,M
Di Trạch,Hoài Đức,Tư nhân,Tư nhân,33.0,116.66666412353516,4.0,4.0,Đầy đủ,Đầy đủ,"3,3 m",Đông - Nam,Đông - Nam,M
Ngọc Thụy,Long Biên,Tư nhân,Tư nhân,42.0,186.90475463867188,3.0,4.0,Đầy đủ,Đầy đủ,"3,8 m",Đông,Đông,M
Ngọc Thụy,Long Biên,Tư nhân,Tư nhân,75.0,246.6666717529297,5.0,5.0,Đầy đủ,Đầy đủ,5 m,Tây - Nam,Tây - Nam,M
