Xã/Phường,Quận/Huyện,Chủ đầu tư,Tên dự án,Loại hình,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Đường vào,Số tầng,Số tòa,Số căn hộ,Hướng nhà,Hướng ban công,Mã lịch sử giá
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,193.0,72.0207290649414,4.0,2.0,4,1,Không có thông tin,,,,,Tây - Nam,Đông - Bắc,Q
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,78.0,147.43589782714844,2.0,2.0,4,3,Không có thông tin,,,3.0,1544.0,Đông - Nam,Không có thông tin,M
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,80.0,37.5,2.0,2.0,4,3,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,N
Trúc Bạch,Ba Đình,Công ty CP Tháp nước Hà Nội,Hà Nội Aqua Central,Căn hộ chung cư,120.0,116.66666412353516,3.0,2.0,4,3,Không có thông tin,,,,,Bắc,Nam,Q
Trúc Bạch,Ba Đình,Công ty CP Tháp nước Hà Nội,Hà Nội Aqua Central,Căn hộ chung cư,110.0,141.81817626953125,3.0,2.0,4,4,Không có thông tin,,,,,Nam,Bắc,Q
Vĩnh Phúc,Ba Đình,Công ty TNHH Hoà Bình,Hòa Bình Green Apartment,Căn hộ chung cư,124.0,129.03225708007812,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,106.0,135.0,3.0,2.0,4,4,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Giảng Võ,Ba Đình,Công ty CP Tập đoàn Trung Thủy,Lancaster Hà Nội,Căn hộ chung cư,126.0,109.52381134033203,3.0,2.0,4,3,Không có thông tin,,,,,Đông,Đông - Nam,M
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,142.0,79.57746124267578,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Đông - Nam,Q
Liễu Giai,Ba Đình,Tổng Công ty Viglacera,Chung cư 671 Hoàng Hoa Thám,Căn hộ chung cư,101.0,74.2574234008789,2.0,2.0,4,1,Không có thông tin,,,,,Bắc,Đông - Nam,Q
Giảng Võ,Ba Đình,Công ty CP Đầu tư Phát triển nhà Gia Bảo,Chung cư D2 Giảng Võ,Căn hộ chung cư,200.0,90.0,4.0,3.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,135.0,2.0,2.0,3,1,Không có thông tin,,,,,Không có thông tin,Đông - Nam,N
29,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,108.0,135.0,3.0,3.0,4,2,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,207.0,120.77294921875,3.0,2.0,4,3,Không có thông tin,,,3.0,1544.0,Tây,Đông - Nam,M
Giảng Võ,Ba Đình,Công ty TNHH Nhà nước một thành viên Thăng Long GTC,Chung cư 15-17 Ngọc Khánh,Căn hộ chung cư,146.0,73.0,3.0,2.0,4,1,Không có thông tin,,,,,Đông - Nam,Không có thông tin,Q
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,143.0,76.0,3.0,2.0,4,2,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,Q
Kim Mã,Ba Đình,Công ty CP Đầu tư Văn Phú - Invest,Grandeur Palace Giảng Võ,Căn hộ chung cư,105.0,152.38095092773438,3.0,2.0,4,3,Không có thông tin,,,,,Đông - Nam,Tây - Bắc,M
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,88.0,135.0,2.0,2.0,4,2,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Đa Tốn,Gia Lâm,Tập đoàn Vingroup,The Sapphire 2 - Vinhomes Ocean Park,Căn hộ chung cư,56.0,58.21428680419922,2.0,1.0,4,3,Không có thông tin,,,16.0,9600.0,Tây - Bắc,Đông - Nam,N
Kim Mã,Ba Đình,Công ty CP Đầu tư Văn Phú - Invest,Grandeur Palace Giảng Võ,Căn hộ chung cư,114.0,140.3508758544922,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,M
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,142.0,82.39436340332031,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Giảng Võ,Ba Đình,Công ty CP Đầu tư Phát triển nhà Gia Bảo,Chung cư D2 Giảng Võ,Căn hộ chung cư,200.0,75.0,4.0,3.0,4,3,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,Q
Giảng Võ,Ba Đình,Tổng công ty 36 - Bộ quốc phòng,The Golden Armor,Căn hộ chung cư,105.0,123.80952453613281,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Đông - Nam,Q
Giảng Võ,Ba Đình,Công ty TNHH Hoà Bình,Hà Nội Golden Lake,Căn hộ chung cư,45.0,163.77777099609375,1.0,1.0,3,3,Không có thông tin,,,,,Đông - Bắc,Tây - Nam,N
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,87.0,135.0,2.0,2.0,3,2,Không có thông tin,,,,,Tây - Nam,Đông - Bắc,N
Trúc Bạch,Ba Đình,Công ty CP Tháp nước Hà Nội,Hà Nội Aqua Central,Căn hộ chung cư,110.0,141.81817626953125,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Ngọc Khánh,Ba Đình,Công ty CP Hạ tầng và Bất động sản Việt Nam,Platinum Residences,Căn hộ chung cư,108.0,81.48148345947266,2.0,2.0,4,4,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,192.0,75.52083587646484,3.0,3.0,4,3,Không có thông tin,,,,,Không có thông tin,Tây - Nam,Q
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,90.0,122.22222137451172,3.0,2.0,4,3,Không có thông tin,,,,,Đông - Nam,Đông - Nam,N
Liễu Giai,Ba Đình,Tổng Công ty Viglacera,Chung cư 671 Hoàng Hoa Thám,Căn hộ chung cư,93.0,69.89247131347656,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Giảng Võ,Ba Đình,Công ty CP Đầu tư Phát triển nhà Gia Bảo,Chung cư D2 Giảng Võ,Căn hộ chung cư,200.0,90.0,4.0,3.0,4,1,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,Q
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,192.0,62.5,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,80.0,137.5,2.0,2.0,4,3,Không có thông tin,,,3.0,1544.0,Đông - Nam,Tây - Bắc,M
