Xã/Phường,Quận/Huyện,Chủ đầu tư,Tên dự án,Loại hình,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Đường vào,Số tầng,Số tòa,Số căn hộ,Hướng nhà,Hướng ban công,Mã lịch sử giá
Ngọc Hà,Ba Đình,Không có chủ đầu tư,Không phải dự án,"Chung cư mini, căn hộ dịch vụ",36.0,650.0,1.0,1.0,4,3,Không có thông tin,,,,,Tây,Đông - Nam,N
Ngọc Hà,Ba Đình,Không có chủ đầu tư,Không phải dự án,"Chung cư mini, căn hộ dịch vụ",52.0,29.230770111083984,2.0,1.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Vĩnh Phúc,Ba Đình,Không có chủ đầu tư,Không phải dự án,Nhà riêng,44.2,160.63348388671875,4.0,4.0,4,1,4.0,,3.0,,,Đông - Nam,Không có thông tin,M
Ngọc Khánh,Ba Đình,Không có chủ đầu tư,Không phải dự án,Nhà riêng,80.0,206.25,14.0,14.0,4,3,Không có thông tin,,8.0,,,Không có thông tin,Không có thông tin,M
Ngọc Hà,Ba Đình,Không có chủ đầu tư,Không phải dự án,Nhà riêng,78.0,237.1794891357422,13.0,13.0,4,3,Không có thông tin,,8.0,,,Không có thông tin,Không có thông tin,M
Ngọc Hà,Ba Đình,Không có chủ đầu tư,Không phải dự án,Nhà riêng,35.0,211.14285278320312,4.0,5.0,4,3,4.0,2.6,6.0,,,Không có thông tin,Không có thông tin,M
Đội Cấn,Ba Đình,Không có chủ đầu tư,Không phải dự án,Nhà riêng,51.0,166.6666717529297,4.0,3.0,4,1,3.75,3.0,4.0,,,Không có thông tin,Không có thông tin,M
Đội Cấn,Ba Đình,Không có chủ đầu tư,Không phải dự án,Nhà riêng,36.0,191.6666717529297,3.0,4.0,4,3,5.239999771118164,2.0,5.0,,,Tây - Nam,Tây - Nam,M
Giảng Võ,Ba Đình,Không có chủ đầu tư,Không phải dự án,Nhà riêng,27.3,402.930419921875,5.0,6.0,4,3,3.799999952316284,7.0,6.0,,,Tây - Bắc,Không có thông tin,M
Ngọc Hà,Ba Đình,Không có chủ đầu tư,Không phải dự án,Nhà riêng,67.25,190.33457946777344,10.0,10.0,4,2,5.0,5.0,6.0,,,Không có thông tin,Không có thông tin,M
Giảng Võ,Ba Đình,Không có chủ đầu tư,Không phải dự án,Nhà riêng,60.0,213.3333282470703,4.0,4.0,4,1,Không có thông tin,4.0,4.0,,,Không có thông tin,Không có thông tin,M
Đội Cấn,Ba Đình,Không có chủ đầu tư,Không phải dự án,Nhà riêng,70.0,235.7142791748047,15.0,15.0,4,3,6.0,5.0,7.0,,,Không có thông tin,Không có thông tin,M
Cống Vị,Ba Đình,Không có chủ đầu tư,Không phải dự án,Nhà riêng,60.5,360.33056640625,8.0,7.0,4,3,3.5,10.0,7.0,,,Đông,Không có thông tin,M
Kim Mã,Ba Đình,Không có chủ đầu tư,Không phải dự án,Nhà riêng,43.0,204.6511688232422,5.0,3.0,4,3,4.800000190734863,15.0,5.0,,,Bắc,Bắc,M
Cống Vị,Ba Đình,Không có chủ đầu tư,Không phải dự án,Nhà riêng,80.0,243.75,7.0,4.0,4,2,4.099999904632568,,4.0,,,Nam,Không có thông tin,M
Nguyễn Trung Trực,Ba Đình,Không có chủ đầu tư,Không phải dự án,Nhà riêng,25.0,184.0,3.0,4.0,4,3,33.0,3.0,5.0,,,Không có thông tin,Không có thông tin,Q
Đội Cấn,Ba Đình,Không có chủ đầu tư,Không phải dự án,Nhà riêng,37.0,200.0,4.0,5.0,4,3,4.300000190734863,3.0,6.0,,,Không có thông tin,Không có thông tin,M
Kim Mã,Ba Đình,Không có chủ đầu tư,Không phải dự án,Nhà riêng,50.0,166.0,5.0,4.0,4,2,4.0,2.5,4.0,,,Không có thông tin,Không có thông tin,M
Vĩnh Phúc,Ba Đình,Không có chủ đầu tư,Không phải dự án,Nhà riêng,41.0,360.9756164550781,3.0,5.0,4,3,4.599999904632568,6.0,6.0,,,Không có thông tin,Không có thông tin,M
Vĩnh Phúc,Ba Đình,Tổng Công ty 319 - Bộ Quốc phòng,Chung cư Newtatco,"Nhà Biệt thự, liền kề",114.0,324.5614013671875,8.0,7.0,4,3,Không có thông tin,,5.0,,,Không có thông tin,Không có thông tin,N
