Xã/Phường,Quận/Huyện,Chủ đầu tư,Tên dự án,Diện tích (m²),Mức giá (triệu/m²),Số phòng ngủ (phòng),Số toilet (phòng),Pháp lý,Nội thất,Mã lịch sử giá
Láng Thượng,Đống Đa,Tư nhân,Tư nhân,49.0,322.448974609375,15.0,15.0,Đầy đủ,Đầy đủ,M
Đa Tốn,Gia Lâm,Masterise Homes,Masteri Waterfront,80.0,61.875,3.0,2.0,Đầy đủ,Cơ bản,M
Nhân Chính,Thanh Xuân,Tư nhân,Tư nhân,231.0,199.1342010498047,36.0,37.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Smart City,60.0,55.0,2.0,2.0,Đầy đủ,Đầy đủ,M
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,288.0,211.11111450195312,5.0,3.0,Đầy đủ,Không nội thất,M
Hoàng Liệt,Hoàng Mai,Công ty CP Tập đoàn Hưng Thịnh,Hà Nội Melody Residences,66.0,70.0,2.0,2.0,Hợp đồng mua bán,Cơ bản,M
Đông Hội,Đông Anh,Tập đoàn Vingroup,Vinhomes Cổ Loa,62.5,224.0,5.0,5.0,Hợp đồng mua bán,Không nội thất,N
Tây Mỗ,Nam Từ Liêm,Tư nhân,Tư nhân,30.0,166.6666717529297,3.0,5.0,Đầy đủ,Cơ bản,M
Mễ Trì,Nam Từ Liêm,Công ty Cổ phần Đầu tư Mai Linh,The Matrix One,78.0,90.0,2.0,2.0,Đầy đủ,Đầy đủ,M
Vĩnh Tuy,Hai Bà Trưng,Công ty CP Tập đoàn Sunshine,Sunshine Garden,108.0,55.55555725097656,3.0,2.0,Hợp đồng mua bán,Cơ bản,M
Đa Tốn,Gia Lâm,Masterise Homes,Masteri Waterfront,35.0,91.42857360839844,1.0,1.0,Hợp đồng mua bán,Cơ bản,M
Đông Hội,Đông Anh,Tập đoàn Vingroup,Vinhomes Cổ Loa,62.0,241.93548583984372,6.0,6.0,Đầy đủ,Cơ bản,N
Đông Hội,Đông Anh,Tập đoàn Vingroup,Vinhomes Cổ Loa,31.0,95.80644989013672,1.0,1.0,Đầy đủ,Cơ bản,N
Đa Tốn,Gia Lâm,Masterise Homes,Masteri Waterfront,67.7,60.1181755065918,2.0,2.0,Hợp đồng mua bán,Cơ bản,M
Yên Hòa,Cầu Giấy,Công ty CP Đầu tư Văn Phú - Invest,Home City Trung Kính,70.52,82.24617767333984,2.0,2.0,Đầy đủ,Đầy đủ,M
Trung Hòa,Cầu Giấy,Tân Hoàng Minh Group,Vinhomes D'Capitale,72.0,90.27777862548828,2.0,2.0,Đầy đủ,Cơ bản,M
Phú Thượng,Tây Hồ,Kita Group,Kita Capital Ciputra,149.0,422.81878662109375,4.0,5.0,Đầy đủ,Không nội thất,N
Kim Chung,Hoài Đức,Tư nhân,Tư nhân,80.0,187.5,25.0,25.0,Đầy đủ,Cơ bản,M
Phúc Đồng,Long Biên,Công ty CP Tập đoàn Sunshine,Sunshine Green Iconic,74.0,72.97297668457031,2.0,2.0,Hợp đồng mua bán,Đầy đủ,Q
Đông Ngạc,Bắc Từ Liêm,Công ty CP Tập đoàn Sunshine,Sunshine City,98.0,63.26530456542969,3.0,2.0,Đầy đủ,Cơ bản,M
Đại Kim,Hoàng Mai,Tập đoàn Bitexco,The Manor Central Park,128.0,312.5,5.0,5.0,Hợp đồng mua bán,Không nội thất,M
Phú Thượng,Tây Hồ,Công ty CP Tập đoàn Sunshine,Sunshine Golden River,160.0,87.5,3.0,2.0,Hợp đồng mua bán,Cao cấp,Q
La Khê,Hà Đông,Công ty CP Sông Đà Thăng Long,Khu đô thị Văn Khê,82.5,212.1212158203125,4.0,4.0,Đầy đủ,Cơ bản,M
Vĩnh Tuy,Hai Bà Trưng,Tập đoàn Vingroup,Vinhomes Times City - Park Hill,200.0,129.0,4.0,3.0,Đầy đủ,Đầy đủ,M
Mỗ Lao,Hà Đông,Công ty TSQ Việt Nam,Làng Việt Kiều Châu Âu Euroland,253.0,260.0,5.0,4.0,Đầy đủ,Đầy đủ,M
Cát Linh,Đống Đa,Tư nhân,Tư nhân,30.0,205.0,3.0,4.0,Đầy đủ,Cơ bản,M
Phúc Lợi,Long Biên,Tư nhân,Tư nhân,30.0,145.0,5.0,4.0,Đầy đủ,Cơ bản,M
Mỹ Đình 2,Nam Từ Liêm,HD Mon Holdings,The Zei Mỹ Đình,107.0,84.11215209960938,3.0,2.0,Đầy đủ,Đầy đủ,M
Yên Hòa,Cầu Giấy,Tư nhân,Tư nhân,40.0,310.0,3.0,5.0,Đầy đủ,Đầy đủ,M
Dương Xá,Gia Lâm,CapitaLand Development (Việt Nam),Chung cư The Senique Hanoi,54.0,87.03704071044922,2.0,2.0,Đầy đủ,Đầy đủ,N
Trung Văn,Nam Từ Liêm,Công ty CP Đầu tư - Xây dựng Hà Nội,Khu đô thị Trung Văn - Hancic,120.0,50.0,2.0,2.0,Đầy đủ,Cao cấp,Q
Quảng An,Tây Hồ,Tân Hoàng Minh Group,D’. Le Roi Soleil,111.0,115.76576232910156,3.0,3.0,Đầy đủ,Không nội thất,M
Hoàng Văn Thụ,Hoàng Mai,Tư nhân,Tư nhân,35.0,177.14285278320312,4.0,4.0,Đầy đủ,Đầy đủ,M
Xuân La,Tây Hồ,Công ty TNHH Phát triển T.H.T,KĐT Tây Hồ Tây - Starlake Hà Nội,195.5,590.0,5.0,5.0,Đầy đủ,Cơ bản,Q
An Khánh,Hoài Đức,Tập đoàn Vingroup,Vinhomes Thăng Long,93.5,171.1230010986328,5.0,6.0,Đầy đủ,Đầy đủ,M
Quang Minh,Mê Linh,Công Ty CP Đầu Tư Xây dựng Long Việt,Long Việt Riverside,70.0,127.14286041259766,6.0,4.0,Hợp đồng mua bán,Đầy đủ,Q
Phú La,Hà Đông,Công ty CP Đầu tư Văn Phú - Invest,Khu đô thị mới Văn Phú,96.0,166.6666717529297,4.0,4.0,Đầy đủ,Không nội thất,M
Thành Công,Ba Đình,Tư nhân,Tư nhân,100.0,42.59999847412109,3.0,2.0,Đầy đủ,Đầy đủ,N
Dự án The Golden An Khánh,Hoài Đức,Công ty CP Sông Đà - Hoàng Long,The Golden An Khánh,60.0,53.33333206176758,2.0,2.0,Đầy đủ,Đầy đủ,M
Vĩnh Quỳnh,Thanh Trì,Tư nhân,Tư nhân,90.0,65.0,5.0,4.0,Đầy đủ,Cơ bản,M
Chùa Láng,Đống Đa,Tư nhân,Tư nhân,42.0,290.4761962890625,6.0,4.0,Đầy đủ,Đầy đủ,M
Đông Hội,Đông Anh,Công ty CP Eurowindow Holding,Eurowindow River Park,85.0,48.82352828979492,3.0,2.0,Đầy đủ,Đầy đủ,M
Trung Văn,Nam Từ Liêm,Công ty CP Đầu tư Xây dựng Hạ tầng và Giao Thông,Tòa nhà Intracom1 - Trung Văn,96.5,50.0,3.0,2.0,Đầy đủ,Đầy đủ,Q
Đông La,Hoài Đức,Tư nhân,Tư nhân,162.0,98.76543426513672,2.0,1.0,Đầy đủ,Đầy đủ,N
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Sapphire-Vinhomes Smart City,54.8,53.83211898803711,2.0,2.0,Đầy đủ,Cao cấp,N
Đông Hội,Đông Anh,Công ty CP Eurowindow Holding,Eurowindow River Park,85.3,49.23798370361328,3.0,2.0,Hợp đồng mua bán,Cơ bản,M
Hàng Bột,Đống Đa,Tư nhân,Tư nhân,32.0,240.0,4.0,5.0,Đầy đủ,Cao cấp,M
Láng Hạ,Đống Đa,HD Mon Holdings,Hải Đăng Tower,106.2,135.0,3.0,2.0,Đầy đủ,Đầy đủ,N
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,55.0,65.45454406738281,2.0,1.0,Đầy đủ,Cơ bản,M
Đại Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Green Villas,474.0,143.4599151611328,5.0,5.0,Đầy đủ,Đầy đủ,M
Thạch Bàn,Long Biên,Tư nhân,Tư nhân,36.0,173.61111450195312,3.0,5.0,Đầy đủ,Cơ bản,M
Đức Giang,Long Biên,Tư nhân,Tư nhân,56.0,136.60714721679688,4.0,3.0,Đầy đủ,Cơ bản,M
Thịnh Quang,Đống Đa,Tư nhân,Tư nhân,55.0,34.181819915771484,2.0,1.0,Đầy đủ,Đầy đủ,N
Quảng An,Tây Hồ,Tân Hoàng Minh Group,D’. Le Roi Soleil,234.0,129.35897827148438,4.0,4.0,Đầy đủ,Cơ bản,M
Bồ Đề,Long Biên,Tư nhân,Tư nhân,95.0,147.36842346191406,4.0,5.0,Đầy đủ,Đầy đủ,M
Đội Cấn,Ba Đình,Tư nhân,Tư nhân,86.0,313.9534912109375,6.0,6.0,Đầy đủ,Đầy đủ,M
Di Trạch,Hoài Đức,Công ty Vietracimex,Chung cư The Wisteria,100.0,59.0,3.0,2.0,Hợp đồng mua bán,Cơ bản,N
Mỹ Đình 1,Nam Từ Liêm,Tư nhân,Tư nhân,114.0,250.0,4.0,4.0,Đầy đủ,Cơ bản,M
Trung Liệt,Đống Đa,Tư nhân,Tư nhân,48.0,129.1666717529297,4.0,3.0,Đầy đủ,Đầy đủ,M
Long Biên,Long Biên,Tư nhân,Tư nhân,40.3,150.1240692138672,4.0,3.0,Đầy đủ,Cơ bản,M
Phú Thượng,Tây Hồ,Công ty TNHH phát triển khu đô thị Nam Thăng Long,Khu đô thị Nam Thăng Long - Ciputra,180.0,295.0,4.0,4.0,Đầy đủ,Đầy đủ,M
Yết Kiêu,Hà Đông,Tư nhân,Tư nhân,60.0,296.6666564941406,5.0,7.0,Đầy đủ,Đầy đủ,Q
Kiến Hưng,Hà Đông,Công ty CP Vinaconex 21,Lucky House Kiến Hưng,70.0,43.57143020629883,2.0,2.0,Đầy đủ,Đầy đủ,Q
Mỹ Đình 1,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Skylake,100.0,91.0,3.0,2.0,Đầy đủ,Đầy đủ,M
Trung Hòa,Cầu Giấy,Tổng Công ty Viglacera,Thăng Long Number One,112.0,58.0,3.0,2.0,Đầy đủ,Đầy đủ,M
