Xã/Phường,Quận/Huyện,Chủ đầu tư,Tên dự án,Diện tích (m²),Mức giá (triệu/m²),Số phòng ngủ (phòng),Số toilet (phòng),Pháp lý,Nội thất,Mã lịch sử giá
Mỹ Đình 2,Nam Từ Liêm,HD Mon Holdings,The Zei Mỹ Đình,92.0,81.52173614501953,2.0,2.0,Đầy đủ,Không nội thất,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,146.0,164.38356018066406,4.0,3.0,Đầy đủ,Đầy đủ,M
Dương Nội,Hà Đông,Công ty CP Tập đoàn Nam Cường Hà Nội,Khu đô thị mới Dương Nội,75.0,174.6666717529297,4.0,4.0,Đầy đủ,Không nội thất,M
Hàng Bột,Đống Đa,Tư nhân,Tư nhân,35.4,353.1073303222656,4.0,5.0,Đầy đủ,Cơ bản,M
Phú Thượng,Tây Hồ,Công ty TNHH phát triển khu đô thị Nam Thăng Long,Khu đô thị Nam Thăng Long - Ciputra,121.0,49.58677673339844,3.0,2.0,Đầy đủ,Đầy đủ,M
Cầu Diễn,Nam Từ Liêm,Vimefulland,Iris Garden,135.0,55.55555725097656,3.0,2.0,Đầy đủ,Đầy đủ,M
Tiến Xuân,Thạch Thất,Công ty TNHH Bất Động Sản Xuân Cầu,Xanh Villas,300.0,55.0,4.0,4.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Masterise Homes,Masteri West Heights,43.0,69.76744079589844,1.0,1.0,Hợp đồng mua bán,Cơ bản,M
Phú Diễn,Bắc Từ Liêm,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,Goldmark City,130.0,48.46154022216797,3.0,4.0,Đầy đủ,Cơ bản,M
Hoàng Liệt,Hoàng Mai,Công ty CP Tập đoàn Hưng Thịnh,Hà Nội Melody Residences,68.0,55.882354736328125,2.0,2.0,Đầy đủ,Cơ bản,M
Phú Thượng,Tây Hồ,Công ty TNHH phát triển khu đô thị Nam Thăng Long,Khu đô thị Nam Thăng Long - Ciputra,246.0,380.081298828125,4.0,4.0,Đầy đủ,Đầy đủ,M
Điện Biên,Ba Đình,Tư nhân,Tư nhân,40.0,212.5,2.0,2.0,Đầy đủ,Đầy đủ,M
Trung Liệt,Đống Đa,Tư nhân,Tư nhân,60.0,49.66666793823242,2.0,1.0,Đầy đủ,Cơ bản,N
Xuân Đỉnh,Bắc Từ Liêm,Vimefulland,Jade Square,128.0,250.0,6.0,6.0,Đầy đủ,Cơ bản,M
Yên Hòa,Cầu Giấy,Tư nhân,Tư nhân,63.0,579.3650512695312,5.0,7.0,Đầy đủ,Đầy đủ,M
Phú Thượng,Tây Hồ,Công ty CP Tập đoàn Sunshine,Sunshine Golden River,141.0,88.65248107910156,3.0,2.0,Hợp đồng mua bán,Cao cấp,Q
Phú Thượng,Tây Hồ,Công ty CP Tập đoàn Sunshine,Sunshine Riverside,65.0,73.84615325927734,2.0,2.0,Đầy đủ,Đầy đủ,M
Tiến Xuân,Thạch Thất,Công ty TNHH Bất Động Sản Xuân Cầu,Xanh Villas,200.0,62.0,4.0,4.0,Chưa có,Không nội thất,M
Dương Nội,Hà Đông,Công ty CP Tập đoàn Nam Cường Hà Nội,An Quý Villa - KĐT Dương Nội,235.0,160.425537109375,5.0,5.0,Đầy đủ,Không nội thất,Q
Yên Nghĩa,Hà Đông,Tư nhân,Tư nhân,34.0,102.94117736816406,5.0,4.0,Đầy đủ,Cơ bản,M
Thạch Bàn,Long Biên,Tư nhân,Tư nhân,38.0,171.05262756347656,3.0,4.0,Đầy đủ,Cơ bản,M
Long Biên,Long Biên,Tư nhân,Tư nhân,40.0,156.25,3.0,3.0,Đầy đủ,Đầy đủ,M
Phú Diễn,Bắc Từ Liêm,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,Goldmark City,129.0,68.44961547851562,3.0,2.0,Đầy đủ,Đầy đủ,M
Đông Hội,Đông Anh,Tập đoàn Vingroup,Vinhomes Cổ Loa,52.0,85.57691955566406,1.0,1.0,Hợp đồng mua bán,Đầy đủ,N
Phú Thượng,Tây Hồ,Kita Group,Kita Capital Ciputra,140.0,328.5714416503906,4.0,5.0,Đầy đủ,Không nội thất,N
Mỹ Đình 1,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Skylake,144.0,106.25,4.0,3.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Smart City,55.0,60.0,2.0,1.0,Đầy đủ,Đầy đủ,M
Đại Kim,Hoàng Mai,Tập đoàn Bitexco,The Manor Central Park,255.0,280.0,6.0,6.0,Đầy đủ,Cơ bản,M
Dương Nội,Hà Đông,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco,Khu đô thị Geleximco - Lê Trọng Tấn,75.0,226.6666717529297,6.0,5.0,Đầy đủ,Không nội thất,M
Láng Thượng,Đống Đa,Tư nhân,Tư nhân,68.0,155.88235473632812,6.0,5.0,Đầy đủ,Đầy đủ,M
Mỗ Lao,Hà Đông,Công ty TSQ Việt Nam,Làng Việt Kiều Châu Âu Euroland,508.0,303.14959716796875,6.0,6.0,Đầy đủ,Không nội thất,M
Phú Thượng,Tây Hồ,Công ty CP Tập đoàn Sunshine,Sunshine Riverside,88.0,73.86363983154297,3.0,2.0,Đầy đủ,Cao cấp,M
Cống Vị,Ba Đình,Tư nhân,Tư nhân,80.0,250.0,7.0,4.0,Đầy đủ,Cơ bản,M
Cầu Diễn,Nam Từ Liêm,Công ty CP Đầu tư & Phát triển Hạ tầng Hoàng Thành,Hoàng Thành Pearl,81.0,72.83950805664062,2.0,2.0,Hợp đồng mua bán,Cao cấp,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,130.0,135.38461303710938,3.0,2.0,Đầy đủ,Đầy đủ,M
Mỹ Đình 1,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Skylake,73.0,95.89041137695312,3.0,2.0,Đầy đủ,Đầy đủ,M
Đông Hội,Đông Anh,Công ty CP Eurowindow Holding,Eurowindow River Park,65.0,45.38461685180664,2.0,2.0,Đầy đủ,Đầy đủ,M
Tả Thanh Oai,Thanh Trì,Tư nhân,Tư nhân,37.0,93.24324035644533,4.0,3.0,Đầy đủ,Cơ bản,M
Yên Hòa,Cầu Giấy,Tư nhân,Tư nhân,62.0,540.3225708007812,5.0,5.0,Đầy đủ,Đầy đủ,M
"HUD2 Linh Đàm,",Hoàng Mai,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,Khu đô thị mới Linh Đàm,75.0,56.66666793823242,3.0,2.0,Đầy đủ,Đầy đủ,M
Biên Giang,Hà Đông,Tư nhân,Tư nhân,30.0,73.33333587646484,3.0,2.0,Đầy đủ,Cơ bản,M
Thanh Trì,Hoàng Mai,Tư nhân,Tư nhân,102.2,190.80235290527344,5.0,6.0,Đầy đủ,Cơ bản,Q
Hoàng Liệt,Hoàng Mai,Công ty CP Tập đoàn Hưng Thịnh,Hà Nội Melody Residences,75.0,60.0,2.0,2.0,Hợp đồng mua bán,Cơ bản,M
Vĩnh Tuy,Hai Bà Trưng,Công ty CP Tập đoàn Sunshine,Sunshine Garden,108.0,61.57407379150391,3.0,2.0,Đầy đủ,Đầy đủ,M
Mỹ Đình 1,Nam Từ Liêm,Tư nhân,Tư nhân,75.0,274.6666564941406,17.0,17.0,Đầy đủ,Đầy đủ,N
Mai Dịch,Cầu Giấy,Tư nhân,Tư nhân,285.0,842.1052856445312,8.0,8.0,Đầy đủ,Cơ bản,M
Đa Tốn,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,69.2,42.63005828857422,2.0,2.0,Đầy đủ,Cơ bản,N
Vĩnh Tuy,Hai Bà Trưng,Tập đoàn Vingroup,Vinhomes Times City - Park Hill,136.0,88.23529052734375,4.0,3.0,Đầy đủ,Đầy đủ,M
Nhân Chính,Thanh Xuân,Tư nhân,Tư nhân,80.0,207.5,5.0,6.0,Đầy đủ,Cơ bản,M
Cống Vị,Ba Đình,Tư nhân,Tư nhân,73.0,356.1643981933594,4.0,5.0,Đầy đủ,Cơ bản,M
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,74.7,51.27175521850586,3.0,2.0,Đầy đủ,Cơ bản,M
Đại Kim,Hoàng Mai,Tư nhân,Tư nhân,35.0,148.57142639160156,4.0,3.0,Đầy đủ,Cơ bản,M
Nam Đồng,Đống Đa,Tư nhân,Tư nhân,50.0,256.0,5.0,4.0,Đầy đủ,Đầy đủ,M
Phú La,Hà Đông,Tư nhân,Tư nhân,200.0,289.0,4.0,4.0,Đầy đủ,Đầy đủ,M
Nhân Chính,Thanh Xuân,Tư nhân,Tư nhân,60.0,358.3333435058594,5.0,5.0,Đầy đủ,Đầy đủ,M
Đông Hội,Đông Anh,Tập đoàn Vingroup,Vinhomes Cổ Loa,80.0,275.0,5.0,5.0,HDMB,Không nội thất,N
Phương Liệt,Thanh Xuân,Tư nhân,Tư nhân,75.0,200.0,4.0,4.0,Đầy đủ,Đầy đủ,M
Trung Hòa,Cầu Giấy,Tư nhân,Tư nhân,79.0,184.81011962890625,12.0,13.0,Đầy đủ,Đầy đủ,M
Trung Liệt,Đống Đa,Tư nhân,Tư nhân,60.0,150.0,3.0,5.0,Đầy đủ,Đầy đủ,M
Di Trạch,Hoài Đức,Công ty Vietracimex,Chung cư The Wisteria,108.0,69.44444274902344,3.0,3.0,Hợp đồng mua bán,Cơ bản,N
Đa Tốn,Gia Lâm,Tập đoàn Vingroup,The Beverly - Vinhomes Ocean Park,32.0,59.0625,1.0,1.0,Hợp đồng mua bán,Không nội thất,N
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,27.1,77.12177276611328,1.0,1.0,Hợp đồng mua bán,Đầy đủ,M
Xuân Đỉnh,Bắc Từ Liêm,Tư nhân,Tư nhân,30.0,221.6666717529297,3.0,4.0,Đầy đủ,Đầy đủ,M
Phụng Châu,Chương Mỹ,Tư nhân,Tư nhân,60.0,37.5,4.0,4.0,Đầy đủ,Cơ bản,M
Giảng Võ,Ba Đình,Tư nhân,Tư nhân,31.0,96.4516143798828,2.0,1.0,Đầy đủ,Không nội thất,M
Cầu Diễn,Nam Từ Liêm,Vimefulland,Iris Garden,62.0,77.25806427001953,2.0,2.0,Đầy đủ,Đầy đủ,M
Yết Kiêu,Hà Đông,Công ty TSQ Việt Nam,Tòa Tháp Thiên Niên Kỷ - Hatay Millennium,105.0,61.904762268066406,3.0,2.0,Đầy đủ,Cơ bản,N
Kiến Hưng,Hà Đông,Tư nhân,Tư nhân,30.0,210.0,3.0,4.0,Đầy đủ,Cơ bản,M
Phú Thượng,Tây Hồ,Tư nhân,Tư nhân,46.0,35.869564056396484,1.0,1.0,Đầy đủ,Cơ bản,N
Khương Mai,Thanh Xuân,Tư nhân,Tư nhân,150.0,40.0,5.0,3.0,Đầy đủ,Cơ bản,M
Trâu Quỳ,Gia Lâm,Masterise Homes,The Lake,63.0,70.0,2.0,1.0,Hợp đồng mua bán,Cơ bản,N
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Canopy Residences - Vinhomes Smart City,73.0,62.0,3.0,2.0,Đầy đủ,Đầy đủ,N
Tân Triều,Thanh Trì,Tư nhân,Tư nhân,34.0,130.0,3.0,2.0,Đầy đủ,Đầy đủ,M
Xuân Đỉnh,Bắc Từ Liêm,Vimefulland,Jade Square,120.0,250.0,7.0,5.0,Chưa có,Đầy đủ,M
Hoàng Văn Thụ,Hoàng Mai,Công ty Cổ phần KLB,Feliz Homes,114.0,65.78947448730469,3.0,2.0,Đầy đủ,Đầy đủ,M
Thạch Bàn,Long Biên,Tư nhân,Tư nhân,31.0,157.4193572998047,3.0,4.0,Đầy đủ,Đầy đủ,M
La Khê,Hà Đông,Công ty CP Đầu tư và Kinh doanh Bất động sản Hải Phát (Hải Phát Land),The Pride,339.0,45.72271347045898,4.0,4.0,Đầy đủ,Đầy đủ,M
Đa Tốn,Gia Lâm,Masterise Homes,Masteri Waterfront,77.0,68.18181610107422,3.0,2.0,Đầy đủ,Cơ bản,M
Dương Xá,Gia Lâm,Tập đoàn Vingroup,The Pavilion - Vinhomes Ocean Park,49.3,53.54969787597656,2.0,1.0,Hợp đồng mua bán,Đầy đủ,N
Láng Hạ,Đống Đa,Tổng Công ty Đầu tư và Phát triển nhà Hà Nội (HANDICO),Chung cư M3 - M4 Nguyễn Chí Thanh,122.0,72.0,3.0,2.0,Đầy đủ,Đầy đủ,Q
Láng Hạ,Đống Đa,Công ty CP Đầu tư Địa ốc Sông Hồng,Sông Hồng Park View,120.0,62.5,3.0,2.0,Đầy đủ,Đầy đủ,Q
Dịch Vọng Hậu,Cầu Giấy,Tư nhân,Tư nhân,77.3,217.3350524902344,21.0,21.0,Đầy đủ,Đầy đủ,M
Trung Hòa,Cầu Giấy,Công ty CP Đầu tư xây dựng và phát triển Công nghệ cao - Decotech,Eurowindow Multi Complex,113.0,61.946903228759766,3.0,2.0,Đầy đủ,Đầy đủ,M
Chúc Sơn,Chương Mỹ,Tư nhân,Tư nhân,32.0,93.125,3.0,3.0,Đầy đủ,Cơ bản,Q
Dương Nội,Hà Đông,Công ty CP Tập đoàn Nam Cường Hà Nội,Khu đô thị mới Dương Nội,200.0,325.0,7.0,6.0,Đầy đủ,Không nội thất,M
Bồ Đề,Long Biên,Tư nhân,Tư nhân,38.0,190.7894744873047,4.0,4.0,Đầy đủ,Đầy đủ,M
Trần Phú,Hoàng Mai,Tư nhân,Tư nhân,35.0,142.57142639160156,3.0,4.0,Đầy đủ,Đầy đủ,M
Vĩnh Hưng,Hoàng Mai,Công ty CP Tập đoàn T&T,T&T Riverview,96.0,52.08333206176758,3.0,2.0,Đầy đủ,Đầy đủ,Q
Láng Hạ,Đống Đa,Công ty CP Đầu tư Địa ốc Sông Hồng,Sông Hồng Park View,120.0,62.5,3.0,2.0,Đầy đủ,Đầy đủ,N
Tràng Tiền,Hoàn Kiếm,Tư nhân,Tư nhân,70.0,328.5714416503906,3.0,3.0,Đầy đủ,Đầy đủ,Q
Kim Mã,Ba Đình,Công ty CP Đầu tư Văn Phú - Invest,Grandeur Palace Giảng Võ,138.0,471.0144958496094,5.0,6.0,Đầy đủ,Cơ bản,Q
Cầu Diễn,Nam Từ Liêm,Vimefulland,Iris Garden,135.0,59.25925827026367,3.0,2.0,Đầy đủ,Không nội thất,N
Dịch Vọng,Cầu Giấy,Tư nhân,Tư nhân,30.0,230.0,4.0,4.0,Đầy đủ,Cơ bản,M
Cầu Diễn,Nam Từ Liêm,Công ty CP Xây dựng Phục Hưng Holdings,Florence Mỹ Đình,85.0,68.23529052734375,3.0,2.0,Đầy đủ,Cơ bản,M
Mỹ Đình 2,Nam Từ Liêm,Tư nhân,Tư nhân,69.0,239.13043212890625,21.0,21.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Sapphire-Vinhomes Smart City,64.0,59.375,2.0,2.0,Đầy đủ,Đầy đủ,N
Mễ Trì,Nam Từ Liêm,Công ty Cổ phần Đầu tư Mai Linh,Golden Palace,125.0,52.0,3.0,2.0,Đầy đủ,Đầy đủ,M
Thanh Xuân Trung,Thanh Xuân,Công ty CP Đầu tư và Phát triển Đô thị Long Giang,Rivera Park Hà Nội,72.0,83.33333587646484,2.0,2.0,Đầy đủ,Đầy đủ,M
Quảng An,Tây Hồ,Tư nhân,Tư nhân,197.0,340.1015319824219,5.0,5.0,Đầy đủ,Đầy đủ,M
Nam Hồng,Đông Anh,Tư nhân,Tư nhân,55.0,64.54545593261719,3.0,2.0,Đầy đủ,Cơ bản,Q
Bồ Đề,Long Biên,Tư nhân,Tư nhân,48.0,260.4166564941406,4.0,4.0,Đầy đủ,Cơ bản,M
Bạch Mai,Hai Bà Trưng,Tư nhân,Tư nhân,50.0,8.680000305175781,6.0,4.0,Đầy đủ,Đầy đủ,M
Dịch Vọng Hậu,Cầu Giấy,Tư nhân,Tư nhân,45.0,315.5555419921875,4.0,4.0,Đầy đủ,Đầy đủ,M
Đông Hội,Đông Anh,Tập đoàn Vingroup,Vinhomes Cổ Loa,62.5,236.16000366210935,4.0,5.0,Đầy đủ,Không nội thất,N
Quan Hoa,Cầu Giấy,Tư nhân,Tư nhân,40.0,237.5,3.0,3.0,Đầy đủ,Đầy đủ,M
Phú La,Hà Đông,Tư nhân,Tư nhân,55.0,223.6363677978516,11.0,12.0,Đầy đủ,Đầy đủ,N
Vĩnh Tuy,Hai Bà Trưng,Công ty CP Tập đoàn Sunshine,Sunshine Garden,45.0,88.88888549804688,1.0,1.0,Đầy đủ,Đầy đủ,M
Đông Hội,Đông Anh,Tập đoàn Vingroup,Vinhomes Cổ Loa,48.0,87.91666412353516,1.0,1.0,Đầy đủ,Đầy đủ,N
Đông Hội,Đông Anh,Tập đoàn Vingroup,Vinhomes Cổ Loa,89.0,78.65168762207031,3.0,2.0,Đầy đủ,Đầy đủ,N
Mễ Trì,Nam Từ Liêm,Tư nhân,Tư nhân,120.0,287.5,31.0,32.0,Đầy đủ,Đầy đủ,N
Lê Đại Hành,Hai Bà Trưng,Tư nhân,Tư nhân,66.0,195.4545440673828,4.0,5.0,Đầy đủ,Đầy đủ,M
Tân Triều,Thanh Trì,Công ty CP HTG,Liền kề Tổng cục 5 Tân Triều,100.0,220.0,3.0,3.0,Đầy đủ,Đầy đủ,M
Nghĩa Tân,Cầu Giấy,Tư nhân,Tư nhân,80.0,210.0,21.0,21.0,Đầy đủ,Đầy đủ,M
Đại Kim,Hoàng Mai,Công ty Đầu tư Xây dựng số 2 Hà Nội,Khu đô thị Đại Kim,53.0,235.84906005859372,6.0,4.0,Đầy đủ,Đầy đủ,M
Giáp Bát,Hoàng Mai,Tư nhân,Tư nhân,65.0,275.3846130371094,4.0,5.0,Đầy đủ,Đầy đủ,M
Vinhomes Ocean Park,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,74.0,71.62162017822266,3.0,2.0,Đầy đủ,Đầy đủ,M
Chúc Sơn,Chương Mỹ,Tư nhân,Tư nhân,90.0,33.33333206176758,2.0,1.0,Đầy đủ,Không nội thất,Q
Cát Linh,Đống Đa,Tư nhân,Tư nhân,32.0,205.9375,3.0,4.0,Đầy đủ,Cơ bản,M
Yên Phụ,Tây Hồ,Tư nhân,Tư nhân,50.0,306.0,4.0,6.0,Đầy đủ,Đầy đủ,M
Ô Chợ Dừa,Đống Đa,Tư nhân,Tư nhân,32.0,240.0,4.0,5.0,Sổ đỏ vuông đẹp,Cao cấp,M
Mỹ Đình 1,Nam Từ Liêm,Công ty CP Đầu tư Phát triển Đô thị và KCN Sông Đà - Sudico,Khu đô thị Mỹ Đình Sông Đà - Sudico,142.0,302.81689453125,4.0,3.0,Đầy đủ,Cao cấp,Q
Văn Quán,Hà Đông,Công ty CP Đầu Tư Xây Dựng và Phát Triển Đô Thị Sông Đà,Sông Đà Hà Đông Tower,154.0,39.610389709472656,4.0,2.0,Đầy đủ,Đầy đủ,Q
Long Biên,Long Biên,Tư nhân,Tư nhân,32.0,162.5,3.0,3.0,Đầy đủ,Đầy đủ,M
Vân Canh,Hoài Đức,Tư nhân,Tư nhân,30.0,175.0,3.0,4.0,Đầy đủ,Cơ bản,M
Mỹ Đình 1,Nam Từ Liêm,Tư nhân,Tư nhân,50.0,38.0,2.0,1.0,- Pháp lý: Hợp đồng mua bán vi bằng,Cơ bản,N
Hà Cầu,Hà Đông,Tư nhân,Tư nhân,53.7,136.8715057373047,3.0,2.0,Đầy đủ,Đầy đủ,M
Phú Lãm,Hà Đông,Tư nhân,Tư nhân,68.2,124.63343811035156,4.0,3.0,Đầy đủ,Cơ bản,M
Ngọc Hà,Ba Đình,Tư nhân,Tư nhân,34.0,205.2941131591797,3.0,4.0,Đầy đủ,Đầy đủ,M
Trương Định,Hai Bà Trưng,Tư nhân,Tư nhân,300.0,286.6666564941406,50.0,50.0,Đầy đủ,Đầy đủ,M
Mỹ Đình 1,Nam Từ Liêm,Tư nhân,Tư nhân,100.0,380.0,20.0,20.0,Đầy đủ,Đầy đủ,N
Cát Linh,Đống Đa,Tư nhân,Tư nhân,25.0,294.0,3.0,3.0,Đầy đủ,Cơ bản,M
Xuân La,Tây Hồ,Tư nhân,Tư nhân,46.0,178.2608642578125,4.0,5.0,Đầy đủ,Đầy đủ,M
Đông Ngạc,Bắc Từ Liêm,Công ty CP Đầu tư Bất động sản Đông Đô - BQP,IA20 Ciputra,92.0,48.91304397583008,3.0,2.0,Đầy đủ,Cơ bản,M
Đê La Thành,Đống Đa,Tư nhân,Tư nhân,73.0,598.3561401367188,6.0,4.0,Đầy đủ,Đầy đủ,M
Dịch Vọng,Cầu Giấy,Công ty Cổ phần Tập đoàn FLC,Bamboo Airways Tower,120.0,70.0,3.0,2.0,Đầy đủ,Đầy đủ,Q
Thanh Xuân Nam,Thanh Xuân,Tư nhân,Tư nhân,66.0,184.84848022460935,22.0,22.0,Đầy đủ,Đầy đủ,M
Dương Xá,Gia Lâm,Tập đoàn Vingroup,The Pavilion - Vinhomes Ocean Park,48.0,55.83333206176758,1.0,1.0,Hợp đồng mua bán,Đầy đủ,M
Cự Khối,Long Biên,Tư nhân,Tư nhân,57.0,117.19298553466795,3.0,3.0,Đầy đủ,Cơ bản,M
Cống Vị,Ba Đình,Tư nhân,Tư nhân,73.0,231.50685119628903,18.0,19.0,Đầy đủ,Đầy đủ,M
Tân Triều,Thanh Trì,Công ty CP Sông Đà 7,Chung cư Viện 103,33.0,136.36363220214844,4.0,4.0,Đầy đủ,Cơ bản,N
Phúc Lợi,Long Biên,Tư nhân,Tư nhân,73.0,200.6849365234375,4.0,3.0,Đầy đủ,Đầy đủ,M
Chương Dương,Hoàn Kiếm,Tư nhân,Tư nhân,60.0,214.6666717529297,5.0,4.0,Đầy đủ,Đầy đủ,M
Thanh Lương,Hai Bà Trưng,Tư nhân,Tư nhân,34.0,173.23529052734375,4.0,4.0,Đầy đủ,Đầy đủ,M
Ngọc Lâm,Long Biên,Tư nhân,Tư nhân,63.0,263.4920654296875,4.0,4.0,Đầy đủ,Đầy đủ,M
Sài Đồng,Long Biên,Tư nhân,Tư nhân,53.0,181.132080078125,5.0,4.0,Đầy đủ,Cơ bản,M
Ngọc Lâm,Long Biên,Tư nhân,Tư nhân,55.0,249.0909118652344,3.0,4.0,Đầy đủ,Cơ bản,M
Định Công,Hoàng Mai,Tư nhân,Tư nhân,52.0,471.1538391113281,5.0,5.0,Đầy đủ,Cơ bản,M
Thanh Xuân Nam,Thanh Xuân,Tư nhân,Tư nhân,110.0,231.81817626953125,32.0,32.0,Đầy đủ,Đầy đủ,M
Thạch Bàn,Long Biên,Tư nhân,Tư nhân,31.0,154.83871459960938,3.0,3.0,Đầy đủ,Cơ bản,M
Nghĩa Đô,Cầu Giấy,Tư nhân,Tư nhân,42.0,242.85714721679688,10.0,10.0,Đầy đủ,Đầy đủ,M
Xuân La,Tây Hồ,Công ty CP Xây dựng và Thương mại Bắc Hà,6th Element,59.8,91.9732437133789,2.0,1.0,Đầy đủ,Đầy đủ,M
Hoàng Văn Thụ,Hoàng Mai,Công ty Cổ phần KLB,Feliz Homes,83.0,55.421688079833984,2.0,2.0,Đầy đủ,Đầy đủ,M
Xuân La,Tây Hồ,Công ty CP Đầu tư và Thương mại Thủ Đô,Ecolife Tây Hồ,87.8,74.25968170166016,2.0,2.0,Đầy đủ,Đầy đủ,M
Đa Tốn,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,67.9,44.91899871826172,2.0,2.0,Đầy đủ,Đầy đủ,M
Dương Xá,Gia Lâm,Tập đoàn Vingroup,The Zenpark,74.3,52.48990249633789,2.0,2.0,Đầy đủ,Cao cấp,M
Thụy Khuê,Tây Hồ,Tư nhân,Tư nhân,47.0,272.3404235839844,11.0,11.0,Đầy đủ,Đầy đủ,M
Nhật Tân,Tây Hồ,Tư nhân,Tư nhân,46.0,178.2608642578125,3.0,4.0,Đầy đủ,Cơ bản,M
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,63.0,47.4603157043457,2.0,2.0,Đầy đủ,Đầy đủ,M
Vĩnh Tuy,Hai Bà Trưng,Tập đoàn Vingroup,Times City,73.0,75.34246826171875,2.0,2.0,Đầy đủ,Đầy đủ,M
Khương Đình,Thanh Xuân,Tư nhân,Tư nhân,46.0,173.9130401611328,8.0,8.0,Đầy đủ,Đầy đủ,M
Phụng Châu,Chương Mỹ,Tư nhân,Tư nhân,36.0,94.44444274902344,4.0,4.0,Đầy đủ,Cơ bản,M
Mễ Trì,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Green Bay Mễ Trì,63.0,61.904762268066406,2.0,2.0,Đầy đủ,Cao cấp,M
Hoàng Văn Thụ,Hoàng Mai,Công ty Cổ phần KLB,Feliz Homes,46.0,78.26087188720703,1.0,1.0,Hợp đồng mua bán,Đầy đủ,M
Đồng Xuân,Hoàn Kiếm,Tư nhân,Tư nhân,156.0,891.025634765625,6.0,6.0,Đầy đủ,Đầy đủ,M
Trung Liệt,Đống Đa,Tư nhân,Tư nhân,26.0,203.84616088867188,3.0,3.0,Đầy đủ,Đầy đủ,M
Hà Cầu,Hà Đông,Công ty TNHH Hyundai RNC Hà Tây,Hyundai Hillstate,134.0,64.85074615478516,3.0,2.0,Đầy đủ,Đầy đủ,Q
Mỹ Đình 2,Nam Từ Liêm,Tư nhân,Tư nhân,280.0,282.1428527832031,8.0,16.0,Đầy đủ,Đầy đủ,M
Thanh Xuân Trung,Thanh Xuân,Công ty CP Đầu tư và Phát triển Đô thị Long Giang,Rivera Park Hà Nội,72.0,79.16666412353516,2.0,2.0,Đầy đủ,Đầy đủ,M
Đông Ngạc,Bắc Từ Liêm,Công ty CP Tập đoàn Sunshine,Sunshine City,103.8,66.47398376464844,3.0,2.0,Đầy đủ,Cơ bản,M
Dịch Vọng Hậu,Cầu Giấy,Tư nhân,Tư nhân,60.0,326.6666564941406,4.0,6.0,Đầy đủ,Cơ bản,M
Thanh Xuân Bắc,Thanh Xuân,Tư nhân,Tư nhân,115.0,400.0,6.0,6.0,Đầy đủ,Đầy đủ,M
Trung Hòa,Cầu Giấy,Tư nhân,Tư nhân,74.0,256.7567443847656,5.0,5.0,Đầy đủ,Đầy đủ,M
Đông Ngạc,Bắc Từ Liêm,Công ty CP Tập đoàn Sunshine,Sunshine City,81.5,73.61962890625,2.0,2.0,Đầy đủ,Cơ bản,M
Dịch Vọng Hậu,Cầu Giấy,Tư nhân,Tư nhân,55.0,296.3636169433594,6.0,4.0,Đầy đủ,Cơ bản,M
Mỹ Đình 2,Nam Từ Liêm,Tư nhân,Tư nhân,117.0,203.41880798339844,28.0,14.0,Đầy đủ,Đầy đủ,M
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,63.6,45.59748458862305,2.0,1.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Miami,42.8,59.57944107055664,1.0,1.0,Đầy đủ,Đầy đủ,M
Mễ Trì,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Green Bay Mễ Trì,75.0,50.66666793823242,3.0,2.0,Đầy đủ,Đầy đủ,M
Dự án Vinhomes Smart City,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Smart City,45.0,53.33333206176758,2.0,1.0,Đầy đủ,Đầy đủ,M
